"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","144","No Auth - Fetch all organizations","QA|Nova Bank - Infopool","Wed Nov 26 18:47:14 UTC 2025","broken","Wed Nov 26 18:47:14 UTC 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","143","Update profile - invalid phone number","QA|Nova Bank - Infopool","Wed Nov 26 18:46:58 UTC 2025","broken","Wed Nov 26 18:46:58 UTC 2025","v1 > Profile > Update profile","Bank User","",""
"","137","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Wed Nov 26 18:47:16 UTC 2025","broken","Wed Nov 26 18:47:16 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","138","Role does not exist - update role","QA|Nova Bank - Infopool","Wed Nov 26 18:47:12 UTC 2025","broken","Wed Nov 26 18:47:12 UTC 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","141","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Wed Nov 26 18:46:56 UTC 2025","broken","Wed Nov 26 18:46:56 UTC 2025","v1 > Profile > Roles","Bank User","",""
"Get a paginated list of reports with optional filtering","145","Get Report Objects - Dashboard","QA|Nova Bank - Infopool","Wed Nov 26 18:47:22 UTC 2025","broken","Wed Nov 26 18:47:22 UTC 2025","v1 > Report > Get Report Object","Bank Admin","",""
"Update an existing report","138","Update Report","QA|Nova Bank - Infopool","Wed Nov 26 18:47:24 UTC 2025","broken","Wed Nov 26 18:47:24 UTC 2025","v1 > Report > Update Report","Bank Admin","",""
"","146","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Wed Nov 26 18:47:07 UTC 2025","broken","Wed Nov 26 18:47:07 UTC 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"Get a specific report by ID","154","Get Report by UUID","QA|Nova Bank - Infopool","Wed Nov 26 18:47:23 UTC 2025","broken","Wed Nov 26 18:47:23 UTC 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","137","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Wed Nov 26 18:47:05 UTC 2025","broken","Wed Nov 26 18:47:05 UTC 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","141","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Wed Nov 26 18:47:08 UTC 2025","broken","Wed Nov 26 18:47:08 UTC 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","172","Create a New Issue","QA|Nova Bank - Infopool","Wed Nov 26 18:47:01 UTC 2025","broken","Wed Nov 26 18:47:01 UTC 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"Get a specific report by ID","142","Get Report by ID - Invalid id","QA|Nova Bank - Infopool","Wed Nov 26 18:47:23 UTC 2025","broken","Wed Nov 26 18:47:23 UTC 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","150","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed Nov 26 18:46:55 UTC 2025","broken","Wed Nov 26 18:46:56 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"","144","Update profile","QA|Nova Bank - Infopool","Wed Nov 26 18:46:58 UTC 2025","broken","Wed Nov 26 18:46:59 UTC 2025","v1 > Profile > update profile image","Bank User","",""
"Get a paginated list of reports with optional filtering","140","Get Report Objects - Question","QA|Nova Bank - Infopool","Wed Nov 26 18:47:22 UTC 2025","broken","Wed Nov 26 18:47:22 UTC 2025","v1 > Report > Get Report Object","Bank Admin","",""
