"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","82","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Sun May 25 15:27:01 GMT 2025","failed","Sun May 25 15:27:01 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","81","Get Report Data - No auth","QA|Nova Bank - Infopool","Sun May 25 15:27:13 GMT 2025","passed","Sun May 25 15:27:13 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","167","Invalid credentials","QA|Nova Bank - Infopool","Sun May 25 15:26:47 GMT 2025","passed","Sun May 25 15:26:47 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","82","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Sun May 25 15:26:53 GMT 2025","failed","Sun May 25 15:26:54 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","79","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Sun May 25 15:26:58 GMT 2025","failed","Sun May 25 15:26:58 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","81","Update profile - No Auth","QA|Nova Bank - Infopool","Sun May 25 15:26:50 GMT 2025","passed","Sun May 25 15:26:50 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","147","Update profile - successful","QA|Nova Bank - Infopool","Sun May 25 15:26:50 GMT 2025","failed","Sun May 25 15:26:50 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","87","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Sun May 25 15:26:54 GMT 2025","passed","Sun May 25 15:26:54 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","84","Logout session - no session","QA|Nova Bank - Infopool","Sun May 25 15:27:11 GMT 2025","passed","Sun May 25 15:27:11 GMT 2025","v1 > Logout","Bank Admin","",""
"","81","Add Comment to Issue","QA|Nova Bank - Infopool","Sun May 25 15:26:54 GMT 2025","failed","Sun May 25 15:26:54 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","82","Fetch Customers Channels","QA|Nova Bank - Infopool","Sun May 25 15:26:57 GMT 2025","failed","Sun May 25 15:26:57 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","77","Get roles - successful","QA|Nova Bank - Infopool","Sun May 25 15:27:09 GMT 2025","passed","Sun May 25 15:27:09 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"Create a new report","82","Create Report","QA|Nova Bank - Infopool","Sun May 25 15:27:12 GMT 2025","failed","Sun May 25 15:27:12 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","82","Update organization details by ID - successful","QA|Nova Bank - Infopool","Sun May 25 15:27:07 GMT 2025","failed","Sun May 25 15:27:07 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","85","Invalid token - Validate user invitation token","QA|Nova Bank - Infopool","Sun May 25 15:26:51 GMT 2025","passed","Sun May 25 15:26:51 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
