"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","91","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Wed Dec 10 18:52:41 UTC 2025","broken","Wed Dec 10 18:52:41 UTC 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","53","No auth - Update role status","QA|Nova Bank - Infopool","Wed Dec 10 18:52:53 UTC 2025","broken","Wed Dec 10 18:52:53 UTC 2025","v1 > Roles > Update role","Bank Admin","",""
"","113","Empty current password - Change password","QA|Nova Bank - Infopool","Wed Dec 10 18:52:42 UTC 2025","broken","Wed Dec 10 18:52:42 UTC 2025","v1 > Profile > Password","Bank User","",""
"Get a paginated list of reports with optional filtering","59","Get Reports - No auth","QA|Nova Bank - Infopool","Wed Dec 10 18:52:54 UTC 2025","broken","Wed Dec 10 18:52:54 UTC 2025","v1 > Report > Get Report","Bank Admin","",""
"","81","Get events - invalid end date","QA|Nova Bank - Infopool","Wed Dec 10 18:52:43 UTC 2025","broken","Wed Dec 10 18:52:43 UTC 2025","v1 > Audit trail > Event","Bank User","",""
"Get a specific report by ID","57","Get Report by ID","QA|Nova Bank - Infopool","Wed Dec 10 18:52:55 UTC 2025","broken","Wed Dec 10 18:52:55 UTC 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","61","Update profile - No Auth","QA|Nova Bank - Infopool","Wed Dec 10 18:52:43 UTC 2025","broken","Wed Dec 10 18:52:43 UTC 2025","v1 > Profile > update profile image","Bank User","",""
"","104","No email - Forgot Password","QA|Nova Bank - Infopool","Wed Dec 10 18:52:41 UTC 2025","broken","Wed Dec 10 18:52:41 UTC 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","107","No user credentials","QA|Nova Bank - Infopool","Wed Dec 10 18:52:40 UTC 2025","broken","Wed Dec 10 18:52:40 UTC 2025","v1 > Auth > Session > Login","Bank User","",""
"Update an existing report","75","Update Report - Invalid id","QA|Nova Bank - Infopool","Wed Dec 10 18:52:56 UTC 2025","broken","Wed Dec 10 18:52:56 UTC 2025","v1 > Report > Update Report","Bank Admin","",""
"","74","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Wed Dec 10 18:52:48 UTC 2025","broken","Wed Dec 10 18:52:48 UTC 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","98","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed Dec 10 18:52:41 UTC 2025","broken","Wed Dec 10 18:52:41 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"","64","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Wed Dec 10 18:52:47 UTC 2025","broken","Wed Dec 10 18:52:47 UTC 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","56","Empty authentication type - Send user invitation token","QA|Nova Bank - Infopool","Wed Dec 10 18:52:44 UTC 2025","broken","Wed Dec 10 18:52:44 UTC 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","66","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Wed Dec 10 18:52:48 UTC 2025","broken","Wed Dec 10 18:52:48 UTC 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
