"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","51","Get role by ID - invalid ID","QA|Nova Bank - Infopool","Fri Feb 27 19:23:35 UTC 2026","broken","Fri Feb 27 19:23:35 UTC 2026","v1 > Roles > Get role by ID","Bank Admin","",""
"","75","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Fri Feb 27 19:23:33 UTC 2026","broken","Fri Feb 27 19:23:33 UTC 2026","v1 > Organizations > Delete organization","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","75","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Feb 27 19:23:23 UTC 2026","broken","Fri Feb 27 19:23:23 UTC 2026","v1 > Auth > MFA > Request","Bank User","",""
"","108","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Fri Feb 27 19:23:23 UTC 2026","broken","Fri Feb 27 19:23:23 UTC 2026","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","58","search Corporate Adjustment","QA|Nova Bank - Infopool","Fri Feb 27 19:23:38 UTC 2026","broken","Fri Feb 27 19:23:38 UTC 2026","","corporate Adjustment","",""
"","72","get user role","QA|Nova Bank - Infopool","Fri Feb 27 19:23:31 UTC 2026","broken","Fri Feb 27 19:23:31 UTC 2026","v1 > Users > Role > Get role","Bank Admin","",""
"","53","Create roles","QA|Nova Bank - Infopool","Fri Feb 27 19:23:34 UTC 2026","broken","Fri Feb 27 19:23:34 UTC 2026","v1 > Roles > Create role","Bank Admin","",""
"","61","Empty fields - Update definition","QA|Nova Bank - Infopool","Fri Feb 27 19:23:30 UTC 2026","broken","Fri Feb 27 19:23:30 UTC 2026","v1 > Static Definitions > Update definition","Bank Admin","",""
"","67","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Fri Feb 27 19:23:29 UTC 2026","broken","Fri Feb 27 19:23:29 UTC 2026","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","57","Invalid name - Search Customers","QA|Nova Bank - Infopool","Fri Feb 27 19:23:28 UTC 2026","broken","Fri Feb 27 19:23:28 UTC 2026","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","53","Update role status - role does not exist","QA|Nova Bank - Infopool","Fri Feb 27 19:23:35 UTC 2026","broken","Fri Feb 27 19:23:35 UTC 2026","v1 > Roles > Update role","Bank Admin","",""
