"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25","Update organization details by ID - parent_id","QA|Nova Bank - Infopool","Thu Jun 05 23:37:59 GMT 2025","passed","Thu Jun 05 23:37:59 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","36","Fetch Customer Comments","QA|Nova Bank - Infopool","Thu Jun 05 23:36:51 GMT 2025","failed","Thu Jun 05 23:36:51 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","39","Get events - no auth","QA|Nova Bank - Infopool","Thu Jun 05 23:36:41 GMT 2025","passed","Thu Jun 05 23:36:41 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"Delete a report (soft delete)","26","Delete Report -No auth","QA|Nova Bank - Infopool","Thu Jun 05 23:38:01 GMT 2025","passed","Thu Jun 05 23:38:01 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","26","Get all definitions","QA|Nova Bank - Infopool","Thu Jun 05 23:37:58 GMT 2025","passed","Thu Jun 05 23:37:58 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","27","Export Report Data","QA|Nova Bank - Infopool","Thu Jun 05 23:38:01 GMT 2025","failed","Thu Jun 05 23:38:01 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","88","Get profile - No Auth","QA|Nova Bank - Infopool","Thu Jun 05 23:36:40 GMT 2025","passed","Thu Jun 05 23:36:40 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","23","Add user to an organization - successful","QA|Nova Bank - Infopool","Thu Jun 05 23:37:59 GMT 2025","passed","Thu Jun 05 23:38:00 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","26","Create roles - No auth","QA|Nova Bank - Infopool","Thu Jun 05 23:38:00 GMT 2025","passed","Thu Jun 05 23:38:00 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","27","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Thu Jun 05 23:37:58 GMT 2025","passed","Thu Jun 05 23:37:58 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","27","No Auth - Fetch Customers Accounts","QA|Nova Bank - Infopool","Thu Jun 05 23:37:58 GMT 2025","passed","Thu Jun 05 23:37:58 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","56","Update profile - invalid phone number","QA|Nova Bank - Infopool","Thu Jun 05 23:36:40 GMT 2025","passed","Thu Jun 05 23:36:40 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","3886","Successful login","QA|Nova Bank - Infopool","Thu Jun 05 23:36:29 GMT 2025","passed","Thu Jun 05 23:36:33 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","48","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Thu Jun 05 23:36:46 GMT 2025","passed","Thu Jun 05 23:36:46 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
