"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","163","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Nov 09 20:10:49 UTC 2025","broken","Sun Nov 09 20:10:49 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"","148","Get profile roles - successful","QA|Nova Bank - Infopool","Sun Nov 09 20:10:50 UTC 2025","broken","Sun Nov 09 20:10:50 UTC 2025","v1 > Profile > Roles","Bank User","",""
"","143","get user role","QA|Nova Bank - Infopool","Sun Nov 09 20:11:06 UTC 2025","broken","Sun Nov 09 20:11:07 UTC 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","146","Add user to an organization - successful","QA|Nova Bank - Infopool","Sun Nov 09 20:11:12 UTC 2025","broken","Sun Nov 09 20:11:12 UTC 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","148","Update role status","QA|Nova Bank - Infopool","Sun Nov 09 20:11:14 UTC 2025","broken","Sun Nov 09 20:11:14 UTC 2025","v1 > Roles > Update role","Bank Admin","",""
"Get a specific report by ID","142","Get Report by ID","QA|Nova Bank - Infopool","Sun Nov 09 20:11:18 UTC 2025","broken","Sun Nov 09 20:11:18 UTC 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","145","Get role by ID - no auth","QA|Nova Bank - Infopool","Sun Nov 09 20:11:15 UTC 2025","broken","Sun Nov 09 20:11:15 UTC 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","152","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Sun Nov 09 20:10:58 UTC 2025","broken","Sun Nov 09 20:10:58 UTC 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","154","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Sun Nov 09 20:10:58 UTC 2025","broken","Sun Nov 09 20:10:58 UTC 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","143","Delete Attachment from Issue","QA|Nova Bank - Infopool","Sun Nov 09 20:10:57 UTC 2025","broken","Sun Nov 09 20:10:58 UTC 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","139","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Sun Nov 09 20:10:56 UTC 2025","broken","Sun Nov 09 20:10:56 UTC 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"Update an existing report","137","Update Report","QA|Nova Bank - Infopool","Sun Nov 09 20:11:19 UTC 2025","broken","Sun Nov 09 20:11:19 UTC 2025","v1 > Report > Update Report","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","149","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Nov 09 20:10:49 UTC 2025","broken","Sun Nov 09 20:10:49 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"","143","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Sun Nov 09 20:10:59 UTC 2025","broken","Sun Nov 09 20:10:59 UTC 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"Update an existing report","143","Update Report - No auth","QA|Nova Bank - Infopool","Sun Nov 09 20:11:19 UTC 2025","broken","Sun Nov 09 20:11:19 UTC 2025","v1 > Report > Update Report","Bank Admin","",""
"Get a specific report by ID","140","Get Report by UUID - No auth","QA|Nova Bank - Infopool","Sun Nov 09 20:11:18 UTC 2025","broken","Sun Nov 09 20:11:18 UTC 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","145","Get profile - No Auth","QA|Nova Bank - Infopool","Sun Nov 09 20:10:51 UTC 2025","broken","Sun Nov 09 20:10:51 UTC 2025","v1 > Profile > Get profile","Bank User","",""
"","142","duplicate corporate Adjustment","QA|Nova Bank - Infopool","Sun Nov 09 20:11:21 UTC 2025","broken","Sun Nov 09 20:11:21 UTC 2025","","corporate Adjustment","",""
"","140","Create  organization - without parent id","QA|Nova Bank - Infopool","Sun Nov 09 20:11:08 UTC 2025","broken","Sun Nov 09 20:11:08 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
