"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","77","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Sun Jun 08 21:29:41 GMT 2025","passed","Sun Jun 08 21:29:41 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","136","No Auth - Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 21:28:25 GMT 2025","passed","Sun Jun 08 21:28:25 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","80","Create organization - business manager ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 21:29:43 GMT 2025","passed","Sun Jun 08 21:29:43 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","82","Get profile - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 21:28:01 GMT 2025","passed","Sun Jun 08 21:28:01 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","1458","Successful login","QA|Nova Bank - Infopool","Sun Jun 08 21:27:45 GMT 2025","passed","Sun Jun 08 21:27:47 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","76","No Auth - Get all definitions","QA|Nova Bank - Infopool","Sun Jun 08 21:29:41 GMT 2025","passed","Sun Jun 08 21:29:41 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","2704","Fetch Customers Transactions","QA|Nova Bank - Infopool","Sun Jun 08 21:28:28 GMT 2025","passed","Sun Jun 08 21:28:31 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","81","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Sun Jun 08 21:29:46 GMT 2025","passed","Sun Jun 08 21:29:46 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","96","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 21:29:47 GMT 2025","passed","Sun Jun 08 21:29:47 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","492","Create a New Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:28:12 GMT 2025","failed","Sun Jun 08 21:28:13 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","156","Delete Attachment from Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:28:23 GMT 2025","failed","Sun Jun 08 21:28:23 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","129","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Sun Jun 08 21:28:24 GMT 2025","passed","Sun Jun 08 21:28:24 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","127","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Sun Jun 08 21:29:45 GMT 2025","failed","Sun Jun 08 21:29:45 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
