"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","78","No auth - get user role","QA|Nova Bank - Infopool","Thu Jun 05 23:08:12 GMT 2025","passed","Thu Jun 05 23:08:12 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","82","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Thu Jun 05 23:06:55 GMT 2025","passed","Thu Jun 05 23:06:55 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","82","Add user to an organization - no auth","QA|Nova Bank - Infopool","Thu Jun 05 23:08:15 GMT 2025","passed","Thu Jun 05 23:08:15 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","78","Create organization - business manager ID does not exist","QA|Nova Bank - Infopool","Thu Jun 05 23:08:13 GMT 2025","passed","Thu Jun 05 23:08:13 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","75","No Auth - Fetch all users","QA|Nova Bank - Infopool","Thu Jun 05 23:08:11 GMT 2025","passed","Thu Jun 05 23:08:11 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","92","No Auth - Get all Issues","QA|Nova Bank - Infopool","Thu Jun 05 23:06:53 GMT 2025","passed","Thu Jun 05 23:06:54 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","86","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Thu Jun 05 23:06:38 GMT 2025","passed","Thu Jun 05 23:06:38 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","79","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Thu Jun 05 23:08:13 GMT 2025","passed","Thu Jun 05 23:08:13 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","78","No Auth - Fetch all organizations","QA|Nova Bank - Infopool","Thu Jun 05 23:08:13 GMT 2025","passed","Thu Jun 05 23:08:13 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","138","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Thu Jun 05 23:06:53 GMT 2025","failed","Thu Jun 05 23:06:53 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","110","Fetch Customer By ID","QA|Nova Bank - Infopool","Thu Jun 05 23:06:57 GMT 2025","passed","Thu Jun 05 23:06:57 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","76","No auth - update role","QA|Nova Bank - Infopool","Thu Jun 05 23:08:12 GMT 2025","passed","Thu Jun 05 23:08:12 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","105","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Thu Jun 05 23:06:39 GMT 2025","failed","Thu Jun 05 23:06:39 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","87","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Thu Jun 05 23:06:39 GMT 2025","failed","Thu Jun 05 23:06:39 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","2063","Fetch Customers Transactions","QA|Nova Bank - Infopool","Thu Jun 05 23:06:58 GMT 2025","passed","Thu Jun 05 23:07:00 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","4245","Create a New Issue","QA|Nova Bank - Infopool","Thu Jun 05 23:06:48 GMT 2025","passed","Thu Jun 05 23:06:52 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","113","Get Email or SMS OTP","QA|Nova Bank - Infopool","Thu Jun 05 23:06:39 GMT 2025","passed","Thu Jun 05 23:06:39 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","93","Update profile - invalid phone number","QA|Nova Bank - Infopool","Thu Jun 05 23:06:42 GMT 2025","passed","Thu Jun 05 23:06:42 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","86","Empty new password - Change password","QA|Nova Bank - Infopool","Thu Jun 05 23:06:41 GMT 2025","passed","Thu Jun 05 23:06:41 GMT 2025","v1 > Profile > Password","Bank User","",""
