"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","35","Update role status - role does not exist","QA|Nova Bank - Infopool","Thu Jun 05 19:05:14 GMT 2025","passed","Thu Jun 05 19:05:14 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","37","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Thu Jun 05 19:03:59 GMT 2025","failed","Thu Jun 05 19:03:59 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","314","reset password","QA|Nova Bank - Infopool","Thu Jun 05 19:03:53 GMT 2025","passed","Thu Jun 05 19:03:54 GMT 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"","159","audit-search","QA|Nova Bank - Infopool","Thu Jun 05 19:03:56 GMT 2025","passed","Thu Jun 05 19:03:56 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"Get a paginated list of reports with optional filtering","33","Get Reports","QA|Nova Bank - Infopool","Thu Jun 05 19:05:14 GMT 2025","passed","Thu Jun 05 19:05:15 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"Get a specific report by ID","31","Get Report by ID - No auth","QA|Nova Bank - Infopool","Thu Jun 05 19:05:15 GMT 2025","passed","Thu Jun 05 19:05:15 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","36","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Thu Jun 05 19:03:58 GMT 2025","passed","Thu Jun 05 19:03:58 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","30","Get permission by ID - No auth","QA|Nova Bank - Infopool","Thu Jun 05 19:05:14 GMT 2025","passed","Thu Jun 05 19:05:14 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","35","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Thu Jun 05 19:05:13 GMT 2025","passed","Thu Jun 05 19:05:13 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","135","Add Comment to Issue","QA|Nova Bank - Infopool","Thu Jun 05 19:03:58 GMT 2025","passed","Thu Jun 05 19:03:58 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","42","Send user invitation token - successful","QA|Nova Bank - Infopool","Thu Jun 05 19:03:56 GMT 2025","passed","Thu Jun 05 19:03:56 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","40","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Thu Jun 05 19:03:53 GMT 2025","passed","Thu Jun 05 19:03:53 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"Create a new report","31","Create Report - Duplicate name","QA|Nova Bank - Infopool","Thu Jun 05 19:05:15 GMT 2025","passed","Thu Jun 05 19:05:15 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","44","Update profile - Invalid file size","QA|Nova Bank - Infopool","Thu Jun 05 19:03:55 GMT 2025","passed","Thu Jun 05 19:03:55 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","39","Empty authentication type - Send user invitation token","QA|Nova Bank - Infopool","Thu Jun 05 19:03:56 GMT 2025","passed","Thu Jun 05 19:03:56 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","34","get user role","QA|Nova Bank - Infopool","Thu Jun 05 19:05:12 GMT 2025","passed","Thu Jun 05 19:05:12 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
