"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","83","Add attachment to issue","QA|Nova Bank - Infopool","Sun Jun 01 15:56:00 GMT 2025","failed","Sun Jun 01 15:56:00 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","83","Fetch Customer Comments","QA|Nova Bank - Infopool","Sun Jun 01 15:56:00 GMT 2025","failed","Sun Jun 01 15:56:01 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","146","Get events - invalid start date","QA|Nova Bank - Infopool","Sun Jun 01 15:55:49 GMT 2025","passed","Sun Jun 01 15:55:50 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","90","Create organization - empty city value","QA|Nova Bank - Infopool","Sun Jun 01 15:56:15 GMT 2025","passed","Sun Jun 01 15:56:15 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","87","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 01 15:55:47 GMT 2025","passed","Sun Jun 01 15:55:47 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","256","Change password - successful","QA|Nova Bank - Infopool","Sun Jun 01 15:55:47 GMT 2025","passed","Sun Jun 01 15:55:47 GMT 2025","v1 > Profile > Password","Bank User","",""
"","86","No email - Forgot Password","QA|Nova Bank - Infopool","Sun Jun 01 15:55:46 GMT 2025","passed","Sun Jun 01 15:55:46 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","252","No auth - Create a New Issue","QA|Nova Bank - Infopool","Sun Jun 01 15:55:52 GMT 2025","passed","Sun Jun 01 15:55:52 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","130","audit trail","QA|Nova Bank - Infopool","Sun Jun 01 15:55:50 GMT 2025","passed","Sun Jun 01 15:55:50 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"Delete a report (soft delete)","79","Delete Report","QA|Nova Bank - Infopool","Sun Jun 01 15:56:29 GMT 2025","failed","Sun Jun 01 15:56:29 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","81","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 01 15:55:51 GMT 2025","passed","Sun Jun 01 15:55:51 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","80","Get role by ID - invalid ID","QA|Nova Bank - Infopool","Sun Jun 01 15:56:19 GMT 2025","failed","Sun Jun 01 15:56:19 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
