"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","37","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Thu Jun 05 23:47:52 GMT 2025","passed","Thu Jun 05 23:47:53 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","32","No Auth - Fetch all organizations","QA|Nova Bank - Infopool","Thu Jun 05 23:49:01 GMT 2025","passed","Thu Jun 05 23:49:01 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","32","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Thu Jun 05 23:49:01 GMT 2025","passed","Thu Jun 05 23:49:01 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","99","Delete Customer Comment","QA|Nova Bank - Infopool","Thu Jun 05 23:47:52 GMT 2025","failed","Thu Jun 05 23:47:52 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","32","Fetch organizations by ID - non-existing ID","QA|Nova Bank - Infopool","Thu Jun 05 23:49:01 GMT 2025","passed","Thu Jun 05 23:49:01 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","67","Update profile","QA|Nova Bank - Infopool","Thu Jun 05 23:47:40 GMT 2025","failed","Thu Jun 05 23:47:40 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","32","managers","QA|Nova Bank - Infopool","Thu Jun 05 23:49:02 GMT 2025","passed","Thu Jun 05 23:49:02 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","33","Update organization details by ID - successful","QA|Nova Bank - Infopool","Thu Jun 05 23:49:01 GMT 2025","passed","Thu Jun 05 23:49:01 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","31","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Thu Jun 05 23:49:01 GMT 2025","passed","Thu Jun 05 23:49:01 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","32","Logout session successfully","QA|Nova Bank - Infopool","Thu Jun 05 23:49:02 GMT 2025","passed","Thu Jun 05 23:49:02 GMT 2025","v1 > Logout","Bank Admin","",""
"","32","No auth - managers","QA|Nova Bank - Infopool","Thu Jun 05 23:49:02 GMT 2025","passed","Thu Jun 05 23:49:02 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","32","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Thu Jun 05 23:49:00 GMT 2025","passed","Thu Jun 05 23:49:00 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
