"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","52","No auth - update role","QA|Nova Bank - Infopool","Wed May 14 16:11:51 GMT 2025","passed","Wed May 14 16:11:52 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"Update an existing report","58","Update Report - Invalid id","QA|Nova Bank - Infopool","Wed May 14 16:12:03 GMT 2025","failed","Wed May 14 16:12:03 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","59","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Wed May 14 16:11:53 GMT 2025","failed","Wed May 14 16:11:53 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","55","Create organization - name already exists","QA|Nova Bank - Infopool","Wed May 14 16:11:52 GMT 2025","passed","Wed May 14 16:11:52 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","60","Create organization - no country ID","QA|Nova Bank - Infopool","Wed May 14 16:11:52 GMT 2025","failed","Wed May 14 16:11:52 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","59","get user role","QA|Nova Bank - Infopool","Wed May 14 16:11:51 GMT 2025","failed","Wed May 14 16:11:51 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","50","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Wed May 14 16:11:54 GMT 2025","passed","Wed May 14 16:11:54 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","58","Get permission by ID - ID does not exist","QA|Nova Bank - Infopool","Wed May 14 16:11:55 GMT 2025","failed","Wed May 14 16:11:55 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","60","Send user invitation token - successful","QA|Nova Bank - Infopool","Wed May 14 16:11:40 GMT 2025","passed","Wed May 14 16:11:40 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","62","Update Issue","QA|Nova Bank - Infopool","Wed May 14 16:11:41 GMT 2025","failed","Wed May 14 16:11:41 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
