"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","67","Create  organization","QA|Nova Bank - Infopool","Thu Jun 05 13:15:29 GMT 2025","passed","Thu Jun 05 13:15:29 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","52","Add Comment to Customer","QA|Nova Bank - Infopool","Thu Jun 05 13:15:20 GMT 2025","failed","Thu Jun 05 13:15:21 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","41","Send user invitation token - successful","QA|Nova Bank - Infopool","Thu Jun 05 13:15:18 GMT 2025","passed","Thu Jun 05 13:15:18 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","66","managers","QA|Nova Bank - Infopool","Thu Jun 05 13:15:31 GMT 2025","passed","Thu Jun 05 13:15:31 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","269","update role","QA|Nova Bank - Infopool","Thu Jun 05 13:15:28 GMT 2025","passed","Thu Jun 05 13:15:29 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","88","Forgot password - successful","QA|Nova Bank - Infopool","Thu Jun 05 13:15:15 GMT 2025","failed","Thu Jun 05 13:15:15 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","36","No auth - Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Thu Jun 05 13:15:30 GMT 2025","passed","Thu Jun 05 13:15:30 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","71","Search Customers","QA|Nova Bank - Infopool","Thu Jun 05 13:15:21 GMT 2025","passed","Thu Jun 05 13:15:21 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","6264","Invalid credentials","QA|Nova Bank - Infopool","Thu Jun 05 13:15:08 GMT 2025","passed","Thu Jun 05 13:15:15 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","103","Invalid current password - Change password","QA|Nova Bank - Infopool","Thu Jun 05 13:15:16 GMT 2025","passed","Thu Jun 05 13:15:16 GMT 2025","v1 > Profile > Password","Bank User","",""
"","44","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Thu Jun 05 13:15:20 GMT 2025","passed","Thu Jun 05 13:15:20 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","59","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Thu Jun 05 13:15:19 GMT 2025","passed","Thu Jun 05 13:15:19 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","56","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Thu Jun 05 13:15:16 GMT 2025","passed","Thu Jun 05 13:15:16 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","62","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Thu Jun 05 13:15:15 GMT 2025","passed","Thu Jun 05 13:15:15 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","45","Create  organization - without parent id","QA|Nova Bank - Infopool","Thu Jun 05 13:15:29 GMT 2025","passed","Thu Jun 05 13:15:29 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","81","No email - Forgot Password","QA|Nova Bank - Infopool","Thu Jun 05 13:15:15 GMT 2025","passed","Thu Jun 05 13:15:15 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","39","No Auth - Update definition","QA|Nova Bank - Infopool","Thu Jun 05 13:15:28 GMT 2025","passed","Thu Jun 05 13:15:28 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","49","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Thu Jun 05 13:15:16 GMT 2025","passed","Thu Jun 05 13:15:16 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","41","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Thu Jun 05 13:15:31 GMT 2025","passed","Thu Jun 05 13:15:31 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","46","Create organization - empty description","QA|Nova Bank - Infopool","Thu Jun 05 13:15:29 GMT 2025","passed","Thu Jun 05 13:15:29 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","37","Get profile roles - No Auth","QA|Nova Bank - Infopool","Thu Jun 05 13:15:16 GMT 2025","passed","Thu Jun 05 13:15:16 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","182","Add Comment to Issue","QA|Nova Bank - Infopool","Thu Jun 05 13:15:20 GMT 2025","passed","Thu Jun 05 13:15:20 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","41","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Thu Jun 05 13:15:28 GMT 2025","failed","Thu Jun 05 13:15:28 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","39","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Thu Jun 05 13:15:30 GMT 2025","failed","Thu Jun 05 13:15:30 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","107","Get events - invalid start date","QA|Nova Bank - Infopool","Thu Jun 05 13:15:17 GMT 2025","passed","Thu Jun 05 13:15:17 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","58","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Thu Jun 05 13:15:20 GMT 2025","passed","Thu Jun 05 13:15:20 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","37","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Thu Jun 05 13:15:16 GMT 2025","passed","Thu Jun 05 13:15:16 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","72","Update organization details by ID - successful","QA|Nova Bank - Infopool","Thu Jun 05 13:15:30 GMT 2025","passed","Thu Jun 05 13:15:30 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","38","No Auth - Change password","QA|Nova Bank - Infopool","Thu Jun 05 13:15:16 GMT 2025","passed","Thu Jun 05 13:15:16 GMT 2025","v1 > Profile > Password","Bank User","",""
"","103","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Thu Jun 05 13:15:18 GMT 2025","passed","Thu Jun 05 13:15:18 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","37","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Thu Jun 05 13:15:24 GMT 2025","passed","Thu Jun 05 13:15:24 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","60","Update definition","QA|Nova Bank - Infopool","Thu Jun 05 13:15:28 GMT 2025","passed","Thu Jun 05 13:15:28 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","36","No Auth - Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Thu Jun 05 13:15:22 GMT 2025","passed","Thu Jun 05 13:15:22 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","114","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Thu Jun 05 13:15:30 GMT 2025","passed","Thu Jun 05 13:15:30 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","50","Create organization - business manager ID does not exist","QA|Nova Bank - Infopool","Thu Jun 05 13:15:29 GMT 2025","passed","Thu Jun 05 13:15:29 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","60","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Thu Jun 05 13:15:21 GMT 2025","failed","Thu Jun 05 13:15:21 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","45","Get single definition","QA|Nova Bank - Infopool","Thu Jun 05 13:15:28 GMT 2025","passed","Thu Jun 05 13:15:28 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","36","No Auth - Search Customers","QA|Nova Bank - Infopool","Thu Jun 05 13:15:21 GMT 2025","passed","Thu Jun 05 13:15:21 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","45","Create organization - no country ID","QA|Nova Bank - Infopool","Thu Jun 05 13:15:29 GMT 2025","passed","Thu Jun 05 13:15:29 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","51","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Thu Jun 05 13:15:29 GMT 2025","passed","Thu Jun 05 13:15:29 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","174","reset password","QA|Nova Bank - Infopool","Thu Jun 05 13:15:15 GMT 2025","passed","Thu Jun 05 13:15:15 GMT 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"","36","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Thu Jun 05 13:15:28 GMT 2025","passed","Thu Jun 05 13:15:28 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","37","audit trail - No Auth","QA|Nova Bank - Infopool","Thu Jun 05 13:15:18 GMT 2025","passed","Thu Jun 05 13:15:18 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","46","Fetch organizations by ID - No Auth","QA|Nova Bank - Infopool","Thu Jun 05 13:15:30 GMT 2025","passed","Thu Jun 05 13:15:30 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","48","No Auth - Update Issue","QA|Nova Bank - Infopool","Thu Jun 05 13:15:20 GMT 2025","passed","Thu Jun 05 13:15:20 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","45","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Thu Jun 05 13:15:30 GMT 2025","passed","Thu Jun 05 13:15:30 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","94","Get profile - successfully","QA|Nova Bank - Infopool","Thu Jun 05 13:15:17 GMT 2025","passed","Thu Jun 05 13:15:17 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","62","Update user - invalid action","QA|Nova Bank - Infopool","Thu Jun 05 13:15:28 GMT 2025","passed","Thu Jun 05 13:15:28 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","38","Update profile - no auth","QA|Nova Bank - Infopool","Thu Jun 05 13:15:17 GMT 2025","passed","Thu Jun 05 13:15:17 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","43","Create organization - no name","QA|Nova Bank - Infopool","Thu Jun 05 13:15:29 GMT 2025","passed","Thu Jun 05 13:15:29 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","59","Update Customer Comment","QA|Nova Bank - Infopool","Thu Jun 05 13:15:21 GMT 2025","failed","Thu Jun 05 13:15:21 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","60","Fetch all users in an organization","QA|Nova Bank - Infopool","Thu Jun 05 13:15:30 GMT 2025","passed","Thu Jun 05 13:15:30 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","38","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Thu Jun 05 13:15:27 GMT 2025","passed","Thu Jun 05 13:15:27 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","47","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Thu Jun 05 13:15:30 GMT 2025","passed","Thu Jun 05 13:15:30 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","50","Fetch all organizations","QA|Nova Bank - Infopool","Thu Jun 05 13:15:29 GMT 2025","passed","Thu Jun 05 13:15:30 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","42","Delete Attachment from Issue","QA|Nova Bank - Infopool","Thu Jun 05 13:15:20 GMT 2025","failed","Thu Jun 05 13:15:20 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","118","Get Email or SMS OTP","QA|Nova Bank - Infopool","Thu Jun 05 13:15:15 GMT 2025","passed","Thu Jun 05 13:15:15 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","38","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Thu Jun 05 13:15:30 GMT 2025","passed","Thu Jun 05 13:15:30 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","36","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Thu Jun 05 13:15:21 GMT 2025","passed","Thu Jun 05 13:15:21 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","37","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Thu Jun 05 13:15:21 GMT 2025","passed","Thu Jun 05 13:15:21 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","39","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Thu Jun 05 13:15:16 GMT 2025","passed","Thu Jun 05 13:15:16 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","45","No user credentials","QA|Nova Bank - Infopool","Thu Jun 05 13:15:15 GMT 2025","passed","Thu Jun 05 13:15:15 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","63","verify OTP","QA|Nova Bank - Infopool","Thu Jun 05 13:15:16 GMT 2025","passed","Thu Jun 05 13:15:16 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","177","Change password - successful","QA|Nova Bank - Infopool","Thu Jun 05 13:15:16 GMT 2025","passed","Thu Jun 05 13:15:16 GMT 2025","v1 > Profile > Password","Bank User","",""
"","248","Get roles - successful","QA|Nova Bank - Infopool","Thu Jun 05 13:15:31 GMT 2025","passed","Thu Jun 05 13:15:31 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","583","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Thu Jun 05 13:15:21 GMT 2025","passed","Thu Jun 05 13:15:22 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","39","Update user - ID does not exist","QA|Nova Bank - Infopool","Thu Jun 05 13:15:28 GMT 2025","failed","Thu Jun 05 13:15:28 GMT 2025","v1 > Users > Update user","Bank Admin","",""
