"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Get a specific report by ID","59","Get Report by ID - No auth","QA|Nova Bank - Infopool","Sat May 24 01:38:43 GMT 2025","passed","Sat May 24 01:38:43 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","67","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sat May 24 01:38:30 GMT 2025","passed","Sat May 24 01:38:30 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"Get a paginated list of reports with optional filtering","62","Get Reports - No auth","QA|Nova Bank - Infopool","Sat May 24 01:38:42 GMT 2025","passed","Sat May 24 01:38:42 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"Get a specific report by ID","59","Get Report by UUID - Invalid uuid","QA|Nova Bank - Infopool","Sat May 24 01:38:43 GMT 2025","failed","Sat May 24 01:38:43 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","63","Update user - invalid action","QA|Nova Bank - Infopool","Sat May 24 01:38:38 GMT 2025","failed","Sat May 24 01:38:38 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","62","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Sat May 24 01:38:34 GMT 2025","passed","Sat May 24 01:38:35 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","66","No email - Forgot Password","QA|Nova Bank - Infopool","Sat May 24 01:38:29 GMT 2025","passed","Sat May 24 01:38:30 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","58","Update role status - role does not exist","QA|Nova Bank - Infopool","Sat May 24 01:38:41 GMT 2025","failed","Sat May 24 01:38:41 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","60","Update Customer Comment Copy","QA|Nova Bank - Infopool","Sat May 24 01:38:35 GMT 2025","passed","Sat May 24 01:38:35 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"Get a paginated list of reports with optional filtering","59","Get Reports Stats","QA|Nova Bank - Infopool","Sat May 24 01:38:43 GMT 2025","failed","Sat May 24 01:38:43 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
