"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","37","Update profile - successful","QA|Nova Bank - Infopool","Tue May 27 23:35:31 GMT 2025","failed","Tue May 27 23:35:31 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","72","Update definition","QA|Nova Bank - Infopool","Tue May 27 23:35:44 GMT 2025","passed","Tue May 27 23:35:44 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","32","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Tue May 27 23:35:44 GMT 2025","passed","Tue May 27 23:35:44 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","35","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Tue May 27 23:35:34 GMT 2025","passed","Tue May 27 23:35:34 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","32","Get Report Data - No auth","QA|Nova Bank - Infopool","Tue May 27 23:35:48 GMT 2025","passed","Tue May 27 23:35:49 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","35","No auth - Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Tue May 27 23:35:46 GMT 2025","passed","Tue May 27 23:35:46 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","11","New Request","QA|Nova Bank - Infopool","Tue May 27 23:35:30 GMT 2025","broken","Tue May 27 23:35:30 GMT 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"","32","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Tue May 27 23:35:46 GMT 2025","passed","Tue May 27 23:35:47 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","34","Change password - successful","QA|Nova Bank - Infopool","Tue May 27 23:35:31 GMT 2025","failed","Tue May 27 23:35:31 GMT 2025","v1 > Profile > Password","Bank User","",""
"","34","Update user - no auth","QA|Nova Bank - Infopool","Tue May 27 23:35:45 GMT 2025","passed","Tue May 27 23:35:45 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","35","Export Report Data","QA|Nova Bank - Infopool","Tue May 27 23:35:49 GMT 2025","failed","Tue May 27 23:35:49 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","32","No Auth - Change password","QA|Nova Bank - Infopool","Tue May 27 23:35:31 GMT 2025","passed","Tue May 27 23:35:31 GMT 2025","v1 > Profile > Password","Bank User","",""
"","34","Get profile - successfully","QA|Nova Bank - Infopool","Tue May 27 23:35:31 GMT 2025","failed","Tue May 27 23:35:31 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","34","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Tue May 27 23:35:32 GMT 2025","passed","Tue May 27 23:35:32 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","38","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Tue May 27 23:35:32 GMT 2025","passed","Tue May 27 23:35:32 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","36","Create organization - no name","QA|Nova Bank - Infopool","Tue May 27 23:35:45 GMT 2025","failed","Tue May 27 23:35:45 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","144","Create  organization","QA|Nova Bank - Infopool","Tue May 27 23:35:45 GMT 2025","failed","Tue May 27 23:35:45 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","58","resend_invitation_toUser","QA|Nova Bank - Infopool","Tue May 27 23:35:32 GMT 2025","passed","Tue May 27 23:35:32 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","32","Empty current password - Change password","QA|Nova Bank - Infopool","Tue May 27 23:35:31 GMT 2025","failed","Tue May 27 23:35:31 GMT 2025","v1 > Profile > Password","Bank User","",""
"","36","Fetch Customer Comments","QA|Nova Bank - Infopool","Tue May 27 23:35:34 GMT 2025","failed","Tue May 27 23:35:34 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","37","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Tue May 27 23:35:31 GMT 2025","passed","Tue May 27 23:35:31 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"Get a paginated list of reports with optional filtering","32","Get Report Objects - Dashboard","QA|Nova Bank - Infopool","Tue May 27 23:35:48 GMT 2025","failed","Tue May 27 23:35:48 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","40","No user credentials","QA|Nova Bank - Infopool","Tue May 27 23:35:30 GMT 2025","passed","Tue May 27 23:35:30 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"Get a specific report by ID","32","Get Report by UUID","QA|Nova Bank - Infopool","Tue May 27 23:35:48 GMT 2025","failed","Tue May 27 23:35:48 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","35","Update organization details by ID - parent_id","QA|Nova Bank - Infopool","Tue May 27 23:35:46 GMT 2025","failed","Tue May 27 23:35:46 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","34","Update profile - no phone number","QA|Nova Bank - Infopool","Tue May 27 23:35:31 GMT 2025","failed","Tue May 27 23:35:32 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","45","Get permission by ID - successful","QA|Nova Bank - Infopool","Tue May 27 23:35:47 GMT 2025","failed","Tue May 27 23:35:47 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
