"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3096","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Mon Jun 02 12:09:16 GMT 2025","failed","Mon Jun 02 12:09:19 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","46","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Mon Jun 02 12:09:06 GMT 2025","passed","Mon Jun 02 12:09:06 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","47","Empty new password - Change password","QA|Nova Bank - Infopool","Mon Jun 02 12:09:08 GMT 2025","passed","Mon Jun 02 12:09:08 GMT 2025","v1 > Profile > Password","Bank User","",""
"","74","Update profile - successful","QA|Nova Bank - Infopool","Mon Jun 02 12:09:08 GMT 2025","passed","Mon Jun 02 12:09:08 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","40","Get Report Data - Dashboard","QA|Nova Bank - Infopool","Mon Jun 02 12:09:28 GMT 2025","failed","Mon Jun 02 12:09:28 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","49","Create organization - name already exists","QA|Nova Bank - Infopool","Mon Jun 02 12:09:23 GMT 2025","passed","Mon Jun 02 12:09:23 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Get a specific report by ID","46","Get Report by UUID","QA|Nova Bank - Infopool","Mon Jun 02 12:09:27 GMT 2025","failed","Mon Jun 02 12:09:27 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","42","No Auth - Update Issue","QA|Nova Bank - Infopool","Mon Jun 02 12:09:10 GMT 2025","passed","Mon Jun 02 12:09:10 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","39","No Auth - Change password","QA|Nova Bank - Infopool","Mon Jun 02 12:09:07 GMT 2025","passed","Mon Jun 02 12:09:07 GMT 2025","v1 > Profile > Password","Bank User","",""
"Create a new report","53","Create Report - Duplicate name","QA|Nova Bank - Infopool","Mon Jun 02 12:09:28 GMT 2025","passed","Mon Jun 02 12:09:28 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","80","Add user to an organization - successful","QA|Nova Bank - Infopool","Mon Jun 02 12:09:25 GMT 2025","passed","Mon Jun 02 12:09:25 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","49","No user credentials","QA|Nova Bank - Infopool","Mon Jun 02 12:09:06 GMT 2025","passed","Mon Jun 02 12:09:06 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","37","Get role by ID - successful","QA|Nova Bank - Infopool","Mon Jun 02 12:09:25 GMT 2025","failed","Mon Jun 02 12:09:25 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","121","update role","QA|Nova Bank - Infopool","Mon Jun 02 12:09:23 GMT 2025","passed","Mon Jun 02 12:09:23 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"Create a new report","52","Create Report - Empty category","QA|Nova Bank - Infopool","Mon Jun 02 12:09:28 GMT 2025","failed","Mon Jun 02 12:09:28 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"Get a paginated list of reports with optional filtering","258","Get Report Objects - Dashboard","QA|Nova Bank - Infopool","Mon Jun 02 12:09:27 GMT 2025","passed","Mon Jun 02 12:09:27 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","39","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Mon Jun 02 12:09:09 GMT 2025","passed","Mon Jun 02 12:09:09 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","41","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Mon Jun 02 12:09:06 GMT 2025","passed","Mon Jun 02 12:09:07 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","39","No Auth - Search Customers","QA|Nova Bank - Infopool","Mon Jun 02 12:09:12 GMT 2025","passed","Mon Jun 02 12:09:12 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"Get a paginated list of reports with optional filtering","38","Get Reports - No auth","QA|Nova Bank - Infopool","Mon Jun 02 12:09:26 GMT 2025","passed","Mon Jun 02 12:09:26 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","38","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Mon Jun 02 12:09:24 GMT 2025","passed","Mon Jun 02 12:09:24 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"Get a specific report by ID","48","Get Report by UUID - Invalid uuid","QA|Nova Bank - Infopool","Mon Jun 02 12:09:27 GMT 2025","passed","Mon Jun 02 12:09:27 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","41","Get Report Data - Question","QA|Nova Bank - Infopool","Mon Jun 02 12:09:28 GMT 2025","failed","Mon Jun 02 12:09:28 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","36","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Mon Jun 02 12:09:12 GMT 2025","failed","Mon Jun 02 12:09:12 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","45","Update profile - Invalid file size","QA|Nova Bank - Infopool","Mon Jun 02 12:09:08 GMT 2025","passed","Mon Jun 02 12:09:08 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","49","Role does not exist - update role","QA|Nova Bank - Infopool","Mon Jun 02 12:09:23 GMT 2025","passed","Mon Jun 02 12:09:23 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","40","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Mon Jun 02 12:09:12 GMT 2025","failed","Mon Jun 02 12:09:12 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","70","Update user - successful","QA|Nova Bank - Infopool","Mon Jun 02 12:09:22 GMT 2025","passed","Mon Jun 02 12:09:22 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","38","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Mon Jun 02 12:09:22 GMT 2025","failed","Mon Jun 02 12:09:22 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
