"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","61","Fetch Customer Comments","QA|Nova Bank - Infopool","Sun Feb 15 20:14:42 UTC 2026","broken","Sun Feb 15 20:14:42 UTC 2026","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","58","Get permission by ID - No auth","QA|Nova Bank - Infopool","Sun Feb 15 20:14:49 UTC 2026","broken","Sun Feb 15 20:14:49 UTC 2026","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","60","Invalid token - Validate user invitation token","QA|Nova Bank - Infopool","Sun Feb 15 20:14:40 UTC 2026","broken","Sun Feb 15 20:14:40 UTC 2026","v1 > Onboarding > Validate invitation","Bank User","",""
"","58","Get roles - No Auth","QA|Nova Bank - Infopool","Sun Feb 15 20:14:48 UTC 2026","broken","Sun Feb 15 20:14:48 UTC 2026","v1 > Roles > Get roles","Bank Admin","",""
"","92","Empty current password - Change password","QA|Nova Bank - Infopool","Sun Feb 15 20:14:38 UTC 2026","broken","Sun Feb 15 20:14:38 UTC 2026","v1 > Profile > Password","Bank User","",""
"","57","No_auth_add_comments","QA|Nova Bank - Infopool","Sun Feb 15 20:14:42 UTC 2026","broken","Sun Feb 15 20:14:42 UTC 2026","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","57","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Sun Feb 15 20:14:47 UTC 2026","broken","Sun Feb 15 20:14:47 UTC 2026","v1 > Organizations > Delete organization","Bank Admin","",""
"","62","Change password - successful","QA|Nova Bank - Infopool","Sun Feb 15 20:14:38 UTC 2026","broken","Sun Feb 15 20:14:38 UTC 2026","v1 > Profile > Password","Bank User","",""
"","62","Empty fields - Update definition","QA|Nova Bank - Infopool","Sun Feb 15 20:14:44 UTC 2026","broken","Sun Feb 15 20:14:44 UTC 2026","v1 > Static Definitions > Update definition","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","71","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Feb 15 20:14:37 UTC 2026","broken","Sun Feb 15 20:14:37 UTC 2026","v1 > Auth > MFA > Request","Bank User","",""
"","55","Get profile - successfully","QA|Nova Bank - Infopool","Sun Feb 15 20:14:38 UTC 2026","broken","Sun Feb 15 20:14:38 UTC 2026","v1 > Profile > Get profile","Bank User","",""
"","60","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Sun Feb 15 20:14:44 UTC 2026","broken","Sun Feb 15 20:14:44 UTC 2026","v1 > Users > Fetch user by ID","Bank Admin","",""
"","59","Get role by ID - successful","QA|Nova Bank - Infopool","Sun Feb 15 20:14:48 UTC 2026","broken","Sun Feb 15 20:14:48 UTC 2026","v1 > Roles > Get role by ID","Bank Admin","",""
"Get a specific report by ID","58","Get Report by UUID","QA|Nova Bank - Infopool","Sun Feb 15 20:14:50 UTC 2026","broken","Sun Feb 15 20:14:50 UTC 2026","v1 > Report > Get Report by UUID","Bank Admin","",""
"","56","Role does not exist - update role","QA|Nova Bank - Infopool","Sun Feb 15 20:14:45 UTC 2026","broken","Sun Feb 15 20:14:45 UTC 2026","v1 > Users > Role > Update role","Bank Admin","",""
"","55","Add user to an organization - no auth","QA|Nova Bank - Infopool","Sun Feb 15 20:14:47 UTC 2026","broken","Sun Feb 15 20:14:47 UTC 2026","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","70","Fetch Customer By ID","QA|Nova Bank - Infopool","Sun Feb 15 20:14:43 UTC 2026","broken","Sun Feb 15 20:14:43 UTC 2026","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","90","No email - Forgot Password","QA|Nova Bank - Infopool","Sun Feb 15 20:14:36 UTC 2026","broken","Sun Feb 15 20:14:37 UTC 2026","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","59","No auth - get all category","QA|Nova Bank - Infopool","Sun Feb 15 20:14:49 UTC 2026","broken","Sun Feb 15 20:14:49 UTC 2026","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","61","Update Customer Comment","QA|Nova Bank - Infopool","Sun Feb 15 20:14:42 UTC 2026","broken","Sun Feb 15 20:14:42 UTC 2026","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","78","Empty new password - Change password","QA|Nova Bank - Infopool","Sun Feb 15 20:14:38 UTC 2026","broken","Sun Feb 15 20:14:38 UTC 2026","v1 > Profile > Password","Bank User","",""
"Delete a report (soft delete)","62","Delete Report - Invalid id","QA|Nova Bank - Infopool","Sun Feb 15 20:14:51 UTC 2026","broken","Sun Feb 15 20:14:51 UTC 2026","v1 > Report > Delete Report","Bank Admin","",""
"","56","Update definition","QA|Nova Bank - Infopool","Sun Feb 15 20:14:44 UTC 2026","broken","Sun Feb 15 20:14:44 UTC 2026","v1 > Static Definitions > Update definition","Bank Admin","",""
"","60","Health","QA|Nova Bank - Infopool","Sun Feb 15 20:14:44 UTC 2026","broken","Sun Feb 15 20:14:44 UTC 2026","v1 > Health","Bank Admin","",""
