"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","92","resend_invitation_toUser","QA|Nova Bank - Infopool","Fri May 30 21:00:43 GMT 2025","passed","Fri May 30 21:00:44 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","80","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Fri May 30 21:00:55 GMT 2025","failed","Fri May 30 21:00:55 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","88","Role does not exist - update role","QA|Nova Bank - Infopool","Fri May 30 21:01:07 GMT 2025","passed","Fri May 30 21:01:07 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","87","get user role","QA|Nova Bank - Infopool","Fri May 30 21:01:06 GMT 2025","passed","Fri May 30 21:01:06 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","79","Fetch organizations by ID - No Auth","QA|Nova Bank - Infopool","Fri May 30 21:01:08 GMT 2025","failed","Fri May 30 21:01:08 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","82","Get Report Data - Dashboard","QA|Nova Bank - Infopool","Fri May 30 21:01:21 GMT 2025","failed","Fri May 30 21:01:21 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","160","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Fri May 30 21:00:46 GMT 2025","failed","Fri May 30 21:00:46 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","80","Create roles - empty name field","QA|Nova Bank - Infopool","Fri May 30 21:01:11 GMT 2025","failed","Fri May 30 21:01:11 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","81","Get profile - No Auth","QA|Nova Bank - Infopool","Fri May 30 21:00:42 GMT 2025","passed","Fri May 30 21:00:42 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","165","Weak password - Change password","QA|Nova Bank - Infopool","Fri May 30 21:00:41 GMT 2025","passed","Fri May 30 21:00:41 GMT 2025","v1 > Profile > Password","Bank User","",""
"","257","Empty issue - Create a New Issue","QA|Nova Bank - Infopool","Fri May 30 21:00:45 GMT 2025","passed","Fri May 30 21:00:46 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","80","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Fri May 30 21:00:53 GMT 2025","passed","Fri May 30 21:00:53 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","83","Delete Customer Comment","QA|Nova Bank - Infopool","Fri May 30 21:00:54 GMT 2025","failed","Fri May 30 21:00:54 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","83","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Fri May 30 21:01:09 GMT 2025","passed","Fri May 30 21:01:09 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","114","verify OTP","QA|Nova Bank - Infopool","Fri May 30 21:00:40 GMT 2025","passed","Fri May 30 21:00:40 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","90","Update profile","QA|Nova Bank - Infopool","Fri May 30 21:00:42 GMT 2025","failed","Fri May 30 21:00:42 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","80","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Fri May 30 21:00:58 GMT 2025","passed","Fri May 30 21:00:58 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","90","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Fri May 30 21:01:10 GMT 2025","passed","Fri May 30 21:01:10 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
