"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","36","Update definition","QA|Nova Bank - Infopool","Sun Jun 08 21:44:33 GMT 2025","passed","Sun Jun 08 21:44:34 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","58","No email - Forgot Password","QA|Nova Bank - Infopool","Sun Jun 08 21:42:58 GMT 2025","passed","Sun Jun 08 21:42:58 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","342","audit-search","QA|Nova Bank - Infopool","Sun Jun 08 21:43:07 GMT 2025","passed","Sun Jun 08 21:43:08 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"Get a paginated list of reports with optional filtering","35","Get Reports - filter by invalid category Id","QA|Nova Bank - Infopool","Sun Jun 08 21:44:37 GMT 2025","passed","Sun Jun 08 21:44:37 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","38","No Auth - Fetch Customers Accounts","QA|Nova Bank - Infopool","Sun Jun 08 21:44:33 GMT 2025","passed","Sun Jun 08 21:44:33 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","54","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:43:13 GMT 2025","failed","Sun Jun 08 21:43:13 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","6297","Invalid email format","QA|Nova Bank - Infopool","Sun Jun 08 21:42:50 GMT 2025","passed","Sun Jun 08 21:42:57 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","32","No Auth - Get all permissions","QA|Nova Bank - Infopool","Sun Jun 08 21:44:36 GMT 2025","passed","Sun Jun 08 21:44:36 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","40","No Auth - Change password","QA|Nova Bank - Infopool","Sun Jun 08 21:43:01 GMT 2025","passed","Sun Jun 08 21:43:01 GMT 2025","v1 > Profile > Password","Bank User","",""
"","69","Get profile - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 21:43:02 GMT 2025","passed","Sun Jun 08 21:43:02 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","34","Export Report Data","QA|Nova Bank - Infopool","Sun Jun 08 21:44:37 GMT 2025","failed","Sun Jun 08 21:44:37 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","33","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Sun Jun 08 21:44:33 GMT 2025","passed","Sun Jun 08 21:44:33 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","34","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 21:44:34 GMT 2025","passed","Sun Jun 08 21:44:34 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","59","Get profile roles - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 21:43:00 GMT 2025","passed","Sun Jun 08 21:43:00 GMT 2025","v1 > Profile > Roles","Bank User","",""
