"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","33","Create organization - no name","QA|Nova Bank - Infopool","Sun Jun 08 22:18:05 GMT 2025","passed","Sun Jun 08 22:18:05 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","33","successful dashboard embed","QA|Nova Bank - Infopool","Sun Jun 08 22:18:04 GMT 2025","passed","Sun Jun 08 22:18:04 GMT 2025","embed dashboard","Bank User","",""
"","33","No Auth - Get all definitions","QA|Nova Bank - Infopool","Sun Jun 08 22:18:04 GMT 2025","passed","Sun Jun 08 22:18:04 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","32","Create roles","QA|Nova Bank - Infopool","Sun Jun 08 22:18:06 GMT 2025","passed","Sun Jun 08 22:18:06 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","32","Get all permissions","QA|Nova Bank - Infopool","Sun Jun 08 22:18:07 GMT 2025","passed","Sun Jun 08 22:18:07 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","32","Fetch user by ID - successful","QA|Nova Bank - Infopool","Sun Jun 08 22:18:04 GMT 2025","passed","Sun Jun 08 22:18:04 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","954","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Sun Jun 08 22:16:54 GMT 2025","passed","Sun Jun 08 22:16:55 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","2572","Fetch Customers Transactions","QA|Nova Bank - Infopool","Sun Jun 08 22:16:55 GMT 2025","passed","Sun Jun 08 22:16:57 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","129","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Sun Jun 08 22:16:52 GMT 2025","passed","Sun Jun 08 22:16:52 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","31","update role","QA|Nova Bank - Infopool","Sun Jun 08 22:18:05 GMT 2025","passed","Sun Jun 08 22:18:05 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","34","Update user - successful","QA|Nova Bank - Infopool","Sun Jun 08 22:18:05 GMT 2025","passed","Sun Jun 08 22:18:05 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","34","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Sun Jun 08 22:18:06 GMT 2025","passed","Sun Jun 08 22:18:06 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","76","Update profile - Invalid file size","QA|Nova Bank - Infopool","Sun Jun 08 22:16:38 GMT 2025","passed","Sun Jun 08 22:16:38 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"Get a specific report by ID","30","Get Report by ID","QA|Nova Bank - Infopool","Sun Jun 08 22:18:07 GMT 2025","passed","Sun Jun 08 22:18:07 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","41","No Auth - Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Sun Jun 08 22:16:55 GMT 2025","passed","Sun Jun 08 22:16:55 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","33","Get Report Data - Invalid id","QA|Nova Bank - Infopool","Sun Jun 08 22:18:08 GMT 2025","passed","Sun Jun 08 22:18:08 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","443","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Sun Jun 08 22:16:57 GMT 2025","passed","Sun Jun 08 22:16:58 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","31","Get permission by ID - No auth","QA|Nova Bank - Infopool","Sun Jun 08 22:18:07 GMT 2025","passed","Sun Jun 08 22:18:07 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","32","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Sun Jun 08 22:18:06 GMT 2025","passed","Sun Jun 08 22:18:06 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","34","Add user to an organization - successful","QA|Nova Bank - Infopool","Sun Jun 08 22:18:06 GMT 2025","passed","Sun Jun 08 22:18:06 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","33","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 22:18:06 GMT 2025","passed","Sun Jun 08 22:18:06 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","31","search Corporate Adjustment","QA|Nova Bank - Infopool","Sun Jun 08 22:18:08 GMT 2025","passed","Sun Jun 08 22:18:08 GMT 2025","","corporate Adjustment","",""
"","206","No auth - Create a New Issue","QA|Nova Bank - Infopool","Sun Jun 08 22:16:41 GMT 2025","passed","Sun Jun 08 22:16:41 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","523","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Sun Jun 08 22:16:41 GMT 2025","failed","Sun Jun 08 22:16:42 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","189","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Sun Jun 08 22:16:43 GMT 2025","passed","Sun Jun 08 22:16:43 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","185","Get events - invalid end date","QA|Nova Bank - Infopool","Sun Jun 08 22:16:38 GMT 2025","passed","Sun Jun 08 22:16:39 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","52","Get profile roles - successful","QA|Nova Bank - Infopool","Sun Jun 08 22:16:27 GMT 2025","passed","Sun Jun 08 22:16:27 GMT 2025","v1 > Profile > Roles","Bank User","",""
"Delete a report (soft delete)","31","Delete Report - Invalid id","QA|Nova Bank - Infopool","Sun Jun 08 22:18:08 GMT 2025","passed","Sun Jun 08 22:18:08 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","33","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Sun Jun 08 22:18:06 GMT 2025","passed","Sun Jun 08 22:18:06 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","145","Invalid attachment id - Delete Attachment from Issue","QA|Nova Bank - Infopool","Sun Jun 08 22:16:44 GMT 2025","failed","Sun Jun 08 22:16:44 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","32","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Sun Jun 08 22:18:04 GMT 2025","passed","Sun Jun 08 22:18:04 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","32","Update organization details by ID - parent_id","QA|Nova Bank - Infopool","Sun Jun 08 22:18:06 GMT 2025","passed","Sun Jun 08 22:18:06 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","37","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Sun Jun 08 22:16:27 GMT 2025","passed","Sun Jun 08 22:16:27 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","32","Export Report Data - Invalid format","QA|Nova Bank - Infopool","Sun Jun 08 22:18:08 GMT 2025","passed","Sun Jun 08 22:18:08 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"Get a paginated list of reports with optional filtering","33","Get Reports - filter by invalid category Id","QA|Nova Bank - Infopool","Sun Jun 08 22:18:07 GMT 2025","passed","Sun Jun 08 22:18:07 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"Update an existing report","28","Update Report","QA|Nova Bank - Infopool","Sun Jun 08 22:18:08 GMT 2025","passed","Sun Jun 08 22:18:08 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","33","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 22:18:04 GMT 2025","passed","Sun Jun 08 22:18:04 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","32","Fetch all organizations","QA|Nova Bank - Infopool","Sun Jun 08 22:18:05 GMT 2025","passed","Sun Jun 08 22:18:05 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","33","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Sun Jun 08 22:18:04 GMT 2025","passed","Sun Jun 08 22:18:04 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","30","Get permission by ID - successful","QA|Nova Bank - Infopool","Sun Jun 08 22:18:07 GMT 2025","passed","Sun Jun 08 22:18:07 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","31","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Sun Jun 08 22:18:04 GMT 2025","passed","Sun Jun 08 22:18:04 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","33","Fetch Customers Channels","QA|Nova Bank - Infopool","Sun Jun 08 22:18:04 GMT 2025","passed","Sun Jun 08 22:18:04 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","32","Update role status","QA|Nova Bank - Infopool","Sun Jun 08 22:18:07 GMT 2025","passed","Sun Jun 08 22:18:07 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","32","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Sun Jun 08 22:18:06 GMT 2025","passed","Sun Jun 08 22:18:06 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","30","get user role","QA|Nova Bank - Infopool","Sun Jun 08 22:18:05 GMT 2025","passed","Sun Jun 08 22:18:05 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
