"","3131","Fetch Customer By ID no Auth","QA|Nova Bank - Infopool","Wed Oct 08 18:49:25 UTC 2025","passed","Wed Oct 08 18:49:28 UTC 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","3189","No Auth - Get all permissions","QA|Nova Bank - Infopool","Wed Oct 08 18:49:39 UTC 2025","passed","Wed Oct 08 18:49:42 UTC 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","80","Get Report Data - Invalid id","QA|Nova Bank - Infopool","Wed Oct 08 18:49:48 UTC 2025","failed","Wed Oct 08 18:49:48 UTC 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","3133","Fetch Customer By ID - invalid id","QA|Nova Bank - Infopool","Wed Oct 08 18:49:28 UTC 2025","failed","Wed Oct 08 18:49:31 UTC 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","79","Fetch all organizations","QA|Nova Bank - Infopool","Wed Oct 08 18:49:35 UTC 2025","failed","Wed Oct 08 18:49:35 UTC 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","82","No Auth - Get all Issues","QA|Nova Bank - Infopool","Wed Oct 08 18:49:22 UTC 2025","passed","Wed Oct 08 18:49:22 UTC 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","83","No Auth - Change password","QA|Nova Bank - Infopool","Wed Oct 08 18:49:18 UTC 2025","failed","Wed Oct 08 18:49:19 UTC 2025","v1 > Profile > Password","Bank User","",""
"","77","No auth - managers","QA|Nova Bank - Infopool","Wed Oct 08 18:49:37 UTC 2025","passed","Wed Oct 08 18:49:37 UTC 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","80","Create organization - empty street value","QA|Nova Bank - Infopool","Wed Oct 08 18:49:35 UTC 2025","failed","Wed Oct 08 18:49:35 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","97","Invalid credentials","QA|Nova Bank - Infopool","Wed Oct 08 18:49:10 UTC 2025","failed","Wed Oct 08 18:49:11 UTC 2025","v1 > Auth > Session > Login","Bank User","",""
"","83","Export Report Data - Invalid format","QA|Nova Bank - Infopool","Wed Oct 08 18:49:48 UTC 2025","failed","Wed Oct 08 18:49:48 UTC 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","79","Get Report Data - No auth","QA|Nova Bank - Infopool","Wed Oct 08 18:49:48 UTC 2025","passed","Wed Oct 08 18:49:48 UTC 2025","v1 > Report > Get Report Data","Bank Admin","",""
"Create a new report","79","Create Report - Empty category","QA|Nova Bank - Infopool","Wed Oct 08 18:49:47 UTC 2025","failed","Wed Oct 08 18:49:47 UTC 2025","v1 > Report > Create Report","Bank Admin","",""
"","82","category by id","QA|Nova Bank - Infopool","Wed Oct 08 18:49:45 UTC 2025","failed","Wed Oct 08 18:49:45 UTC 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","80","Get Report Data - Question","QA|Nova Bank - Infopool","Wed Oct 08 18:49:47 UTC 2025","failed","Wed Oct 08 18:49:48 UTC 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","78","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Wed Oct 08 18:49:33 UTC 2025","passed","Wed Oct 08 18:49:33 UTC 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"Create a new report","83","Create Report","QA|Nova Bank - Infopool","Wed Oct 08 18:49:47 UTC 2025","failed","Wed Oct 08 18:49:47 UTC 2025","v1 > Report > Create Report","Bank Admin","",""
"","79","Search Customers","QA|Nova Bank - Infopool","Wed Oct 08 18:49:24 UTC 2025","failed","Wed Oct 08 18:49:24 UTC 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","78","managers","QA|Nova Bank - Infopool","Wed Oct 08 18:49:37 UTC 2025","failed","Wed Oct 08 18:49:37 UTC 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","78","duplicate corporate Adjustment","QA|Nova Bank - Infopool","Wed Oct 08 18:49:48 UTC 2025","failed","Wed Oct 08 18:49:48 UTC 2025","","corporate Adjustment","",""
"","93","No user credentials","QA|Nova Bank - Infopool","Wed Oct 08 18:49:17 UTC 2025","failed","Wed Oct 08 18:49:17 UTC 2025","v1 > Auth > Session > Login","Bank User","",""
"","82","Empty authentication type - Send user invitation token","QA|Nova Bank - Infopool","Wed Oct 08 18:49:21 UTC 2025","failed","Wed Oct 08 18:49:21 UTC 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","80","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Wed Oct 08 18:49:22 UTC 2025","passed","Wed Oct 08 18:49:22 UTC 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","84","Change password - successful","QA|Nova Bank - Infopool","Wed Oct 08 18:49:18 UTC 2025","failed","Wed Oct 08 18:49:18 UTC 2025","v1 > Profile > Password","Bank User","",""
"","81","Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Wed Oct 08 18:49:36 UTC 2025","failed","Wed Oct 08 18:49:37 UTC 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","80","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Wed Oct 08 18:49:31 UTC 2025","passed","Wed Oct 08 18:49:32 UTC 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","79","Add user to an organization - no auth","QA|Nova Bank - Infopool","Wed Oct 08 18:49:37 UTC 2025","failed","Wed Oct 08 18:49:37 UTC 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","79","Update profile - invalid phone number","QA|Nova Bank - Infopool","Wed Oct 08 18:49:19 UTC 2025","failed","Wed Oct 08 18:49:19 UTC 2025","v1 > Profile > Update profile","Bank User","",""
"","79","Update Customer Comment","QA|Nova Bank - Infopool","Wed Oct 08 18:49:24 UTC 2025","failed","Wed Oct 08 18:49:24 UTC 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","78","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Wed Oct 08 18:49:24 UTC 2025","failed","Wed Oct 08 18:49:24 UTC 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"Update an existing report","76","Update Report","QA|Nova Bank - Infopool","Wed Oct 08 18:49:47 UTC 2025","passed","Wed Oct 08 18:49:47 UTC 2025","v1 > Report > Update Report","Bank Admin","",""
