"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","88","No user credentials","QA|Nova Bank - Infopool","Tue Jun 03 17:59:42 GMT 2025","passed","Tue Jun 03 17:59:42 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","136","Forgot password - successful","QA|Nova Bank - Infopool","Tue Jun 03 17:59:42 GMT 2025","failed","Tue Jun 03 17:59:42 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","197","Add Comment to Issue","QA|Nova Bank - Infopool","Tue Jun 03 17:59:56 GMT 2025","passed","Tue Jun 03 17:59:56 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","79","No Auth - Search Customers","QA|Nova Bank - Infopool","Tue Jun 03 17:59:58 GMT 2025","passed","Tue Jun 03 17:59:58 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","81","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Tue Jun 03 17:59:56 GMT 2025","failed","Tue Jun 03 17:59:56 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","78","No auth - managers","QA|Nova Bank - Infopool","Tue Jun 03 18:00:15 GMT 2025","passed","Tue Jun 03 18:00:15 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","80","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Tue Jun 03 18:00:13 GMT 2025","passed","Tue Jun 03 18:00:14 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","89","Update profile - Invalid file size","QA|Nova Bank - Infopool","Tue Jun 03 17:59:46 GMT 2025","passed","Tue Jun 03 17:59:46 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","91","Invalid email format","QA|Nova Bank - Infopool","Tue Jun 03 17:59:42 GMT 2025","passed","Tue Jun 03 17:59:42 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","130","Update organization details by ID - successful","QA|Nova Bank - Infopool","Tue Jun 03 18:00:13 GMT 2025","passed","Tue Jun 03 18:00:13 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","79","No Auth - Update definition","QA|Nova Bank - Infopool","Tue Jun 03 18:00:06 GMT 2025","passed","Tue Jun 03 18:00:06 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","79","No Auth - Get all definitions","QA|Nova Bank - Infopool","Tue Jun 03 18:00:03 GMT 2025","passed","Tue Jun 03 18:00:03 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
