"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","90","Get roles - successful","QA|Nova Bank - Infopool","Wed Oct 15 18:49:11 UTC 2025","passed","Wed Oct 15 18:49:11 UTC 2025","v1 > Roles > Get roles","Bank Admin","",""
"","91","Get profile - user not logged in","QA|Nova Bank - Infopool","Wed Oct 15 18:48:45 UTC 2025","passed","Wed Oct 15 18:48:45 UTC 2025","v1 > Profile > Get profile","Bank User","",""
"","93","Update role status","QA|Nova Bank - Infopool","Wed Oct 15 18:49:12 UTC 2025","failed","Wed Oct 15 18:49:12 UTC 2025","v1 > Roles > Update role","Bank Admin","",""
"","91","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Wed Oct 15 18:49:03 UTC 2025","failed","Wed Oct 15 18:49:03 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","92","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Wed Oct 15 18:49:02 UTC 2025","failed","Wed Oct 15 18:49:02 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","93","Update user - empty action field","QA|Nova Bank - Infopool","Wed Oct 15 18:49:01 UTC 2025","failed","Wed Oct 15 18:49:01 UTC 2025","v1 > Users > Update user","Bank Admin","",""
"","92","Update organization details by ID - incorrect business manager ID","QA|Nova Bank - Infopool","Wed Oct 15 18:49:03 UTC 2025","failed","Wed Oct 15 18:49:04 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","98","verify OTP","QA|Nova Bank - Infopool","Wed Oct 15 18:48:44 UTC 2025","failed","Wed Oct 15 18:48:44 UTC 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","97","Get profile roles - No Auth","QA|Nova Bank - Infopool","Wed Oct 15 18:48:44 UTC 2025","passed","Wed Oct 15 18:48:44 UTC 2025","v1 > Profile > Roles","Bank User","",""
"","92","No Auth - Update definition","QA|Nova Bank - Infopool","Wed Oct 15 18:48:59 UTC 2025","failed","Wed Oct 15 18:49:00 UTC 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","92","Health","QA|Nova Bank - Infopool","Wed Oct 15 18:48:59 UTC 2025","failed","Wed Oct 15 18:48:59 UTC 2025","v1 > Health","Bank Admin","",""
"","95","Update profile - No Auth","QA|Nova Bank - Infopool","Wed Oct 15 18:48:45 UTC 2025","failed","Wed Oct 15 18:48:45 UTC 2025","v1 > Profile > update profile image","Bank User","",""
"","90","No auth - get all category","QA|Nova Bank - Infopool","Wed Oct 15 18:49:13 UTC 2025","passed","Wed Oct 15 18:49:13 UTC 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","89","No Auth - Get all permissions","QA|Nova Bank - Infopool","Wed Oct 15 18:49:13 UTC 2025","passed","Wed Oct 15 18:49:13 UTC 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"Update an existing report","92","Update Report - No auth","QA|Nova Bank - Infopool","Wed Oct 15 18:49:15 UTC 2025","failed","Wed Oct 15 18:49:15 UTC 2025","v1 > Report > Update Report","Bank Admin","",""
"","91","get user role","QA|Nova Bank - Infopool","Wed Oct 15 18:49:01 UTC 2025","failed","Wed Oct 15 18:49:01 UTC 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","94","Update role status - role does not exist","QA|Nova Bank - Infopool","Wed Oct 15 18:49:12 UTC 2025","failed","Wed Oct 15 18:49:12 UTC 2025","v1 > Roles > Update role","Bank Admin","",""
"","93","Export Report Data - Invalid format","QA|Nova Bank - Infopool","Wed Oct 15 18:49:16 UTC 2025","failed","Wed Oct 15 18:49:16 UTC 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","91","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Wed Oct 15 18:49:02 UTC 2025","failed","Wed Oct 15 18:49:02 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","93","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Wed Oct 15 18:48:50 UTC 2025","failed","Wed Oct 15 18:48:50 UTC 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","94","Update profile - invalid phone number","QA|Nova Bank - Infopool","Wed Oct 15 18:48:45 UTC 2025","failed","Wed Oct 15 18:48:45 UTC 2025","v1 > Profile > Update profile","Bank User","",""
"","95","Create organization - business manager ID does not exist","QA|Nova Bank - Infopool","Wed Oct 15 18:49:02 UTC 2025","failed","Wed Oct 15 18:49:02 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Create a new report","94","Create Report - Duplicate name","QA|Nova Bank - Infopool","Wed Oct 15 18:49:15 UTC 2025","failed","Wed Oct 15 18:49:15 UTC 2025","v1 > Report > Create Report","Bank Admin","",""
"","91","successful dashboard embed","QA|Nova Bank - Infopool","Wed Oct 15 18:48:59 UTC 2025","failed","Wed Oct 15 18:48:59 UTC 2025","embed dashboard","Bank User","",""
"Get a paginated list of reports with optional filtering","91","Get Report Objects - No Auth","QA|Nova Bank - Infopool","Wed Oct 15 18:49:14 UTC 2025","passed","Wed Oct 15 18:49:14 UTC 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","92","No auth - Create  organization","QA|Nova Bank - Infopool","Wed Oct 15 18:49:01 UTC 2025","failed","Wed Oct 15 18:49:01 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","91","Update organization details by ID - successful","QA|Nova Bank - Infopool","Wed Oct 15 18:49:03 UTC 2025","failed","Wed Oct 15 18:49:03 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","92","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Wed Oct 15 18:48:58 UTC 2025","failed","Wed Oct 15 18:48:58 UTC 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","92","Update profile - successful","QA|Nova Bank - Infopool","Wed Oct 15 18:48:45 UTC 2025","failed","Wed Oct 15 18:48:45 UTC 2025","v1 > Profile > Update profile","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","103","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed Oct 15 18:48:43 UTC 2025","failed","Wed Oct 15 18:48:43 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"","95","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Wed Oct 15 18:48:47 UTC 2025","failed","Wed Oct 15 18:48:47 UTC 2025","v1 > Onboarding > Complete profile","Bank User","",""
"Get a specific report by ID","91","Get Report by UUID","QA|Nova Bank - Infopool","Wed Oct 15 18:49:14 UTC 2025","failed","Wed Oct 15 18:49:14 UTC 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","92","Create organization - empty mis code","QA|Nova Bank - Infopool","Wed Oct 15 18:49:02 UTC 2025","failed","Wed Oct 15 18:49:02 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","92","update role","QA|Nova Bank - Infopool","Wed Oct 15 18:49:01 UTC 2025","failed","Wed Oct 15 18:49:01 UTC 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","94","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Wed Oct 15 18:49:00 UTC 2025","failed","Wed Oct 15 18:49:00 UTC 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","95","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed Oct 15 18:48:43 UTC 2025","failed","Wed Oct 15 18:48:43 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"","93","Role does not exist - update role","QA|Nova Bank - Infopool","Wed Oct 15 18:49:01 UTC 2025","failed","Wed Oct 15 18:49:01 UTC 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","92","Search Customers","QA|Nova Bank - Infopool","Wed Oct 15 18:48:57 UTC 2025","failed","Wed Oct 15 18:48:57 UTC 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","92","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Wed Oct 15 18:49:10 UTC 2025","passed","Wed Oct 15 18:49:10 UTC 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","91","search Corporate Adjustment","QA|Nova Bank - Infopool","Wed Oct 15 18:49:16 UTC 2025","failed","Wed Oct 15 18:49:16 UTC 2025","","corporate Adjustment","",""
"","91","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Wed Oct 15 18:48:49 UTC 2025","failed","Wed Oct 15 18:48:49 UTC 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","94","Get Issue by ID","QA|Nova Bank - Infopool","Wed Oct 15 18:48:48 UTC 2025","failed","Wed Oct 15 18:48:48 UTC 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","98","Create_issue_without_attachment","QA|Nova Bank - Infopool","Wed Oct 15 18:48:48 UTC 2025","failed","Wed Oct 15 18:48:48 UTC 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","91","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Wed Oct 15 18:49:04 UTC 2025","failed","Wed Oct 15 18:49:04 UTC 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","92","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Wed Oct 15 18:49:11 UTC 2025","failed","Wed Oct 15 18:49:11 UTC 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","95","Create  organization","QA|Nova Bank - Infopool","Wed Oct 15 18:49:01 UTC 2025","failed","Wed Oct 15 18:49:01 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Create a new report","93","Create Report - Empty category","QA|Nova Bank - Infopool","Wed Oct 15 18:49:15 UTC 2025","failed","Wed Oct 15 18:49:15 UTC 2025","v1 > Report > Create Report","Bank Admin","",""
"","93","audit trail - No Auth","QA|Nova Bank - Infopool","Wed Oct 15 18:48:46 UTC 2025","passed","Wed Oct 15 18:48:46 UTC 2025","v1 > Audit trail > Audit trail","Bank User","",""
"Delete a report (soft delete)","92","Delete Report -No auth","QA|Nova Bank - Infopool","Wed Oct 15 18:49:15 UTC 2025","failed","Wed Oct 15 18:49:15 UTC 2025","v1 > Report > Delete Report","Bank Admin","",""
