"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","46","Empty new password - Change password","QA|Nova Bank - Infopool","Thu Jun 05 15:47:15 GMT 2025","passed","Thu Jun 05 15:47:15 GMT 2025","v1 > Profile > Password","Bank User","",""
"","98","Get profile - successfully","QA|Nova Bank - Infopool","Thu Jun 05 15:47:15 GMT 2025","passed","Thu Jun 05 15:47:15 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","38","No auth - Add Comment to Customer","QA|Nova Bank - Infopool","Thu Jun 05 15:47:18 GMT 2025","passed","Thu Jun 05 15:47:18 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","43","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Thu Jun 05 15:47:14 GMT 2025","passed","Thu Jun 05 15:47:14 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","38","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Thu Jun 05 15:47:18 GMT 2025","passed","Thu Jun 05 15:47:18 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","45","get user role","QA|Nova Bank - Infopool","Thu Jun 05 15:47:32 GMT 2025","passed","Thu Jun 05 15:47:32 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","107","Weak password - Change password","QA|Nova Bank - Infopool","Thu Jun 05 15:47:15 GMT 2025","passed","Thu Jun 05 15:47:15 GMT 2025","v1 > Profile > Password","Bank User","",""
"","36","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Thu Jun 05 15:47:31 GMT 2025","passed","Thu Jun 05 15:47:31 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","65","Fetch Customers Channels","QA|Nova Bank - Infopool","Thu Jun 05 15:47:31 GMT 2025","passed","Thu Jun 05 15:47:31 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","1899","Fetch Customers Transactions","QA|Nova Bank - Infopool","Thu Jun 05 15:47:20 GMT 2025","passed","Thu Jun 05 15:47:22 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
