"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","37","Get Report Data - No auth","QA|Nova Bank - Infopool","Fri Apr 25 18:54:12 GMT 2025","passed","Fri Apr 25 18:54:12 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","34","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Fri Apr 25 18:53:36 GMT 2025","passed","Fri Apr 25 18:53:36 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"Get a paginated list of reports with optional filtering","40","Get Reports - filter by invalid category Id","QA|Nova Bank - Infopool","Fri Apr 25 18:54:02 GMT 2025","passed","Fri Apr 25 18:54:02 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","923","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Fri Apr 25 18:53:38 GMT 2025","passed","Fri Apr 25 18:53:39 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","39","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Fri Apr 25 18:53:58 GMT 2025","passed","Fri Apr 25 18:53:58 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","47","Update organization details by ID - parent_id","QA|Nova Bank - Infopool","Fri Apr 25 18:54:00 GMT 2025","passed","Fri Apr 25 18:54:00 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"Update an existing report","33","Update Report - No auth","QA|Nova Bank - Infopool","Fri Apr 25 18:54:10 GMT 2025","passed","Fri Apr 25 18:54:10 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","39","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Fri Apr 25 18:53:58 GMT 2025","passed","Fri Apr 25 18:53:58 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","38","Invalid token - Validate user invitation token","QA|Nova Bank - Infopool","Fri Apr 25 18:53:35 GMT 2025","passed","Fri Apr 25 18:53:35 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","3118","No Auth - Get all definitions","QA|Nova Bank - Infopool","Fri Apr 25 18:53:55 GMT 2025","passed","Fri Apr 25 18:53:58 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","62","Update user - successful","QA|Nova Bank - Infopool","Fri Apr 25 18:53:58 GMT 2025","passed","Fri Apr 25 18:53:58 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"Delete a report (soft delete)","49","Delete Report - Invalid id","QA|Nova Bank - Infopool","Fri Apr 25 18:54:10 GMT 2025","passed","Fri Apr 25 18:54:10 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","45","get all category","QA|Nova Bank - Infopool","Fri Apr 25 18:54:02 GMT 2025","passed","Fri Apr 25 18:54:02 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","34","Get profile - user not logged in","QA|Nova Bank - Infopool","Fri Apr 25 18:53:34 GMT 2025","passed","Fri Apr 25 18:53:34 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","79","Get roles - successful","QA|Nova Bank - Infopool","Fri Apr 25 18:54:01 GMT 2025","passed","Fri Apr 25 18:54:01 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","46","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Fri Apr 25 18:53:37 GMT 2025","passed","Fri Apr 25 18:53:37 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","49","Get Issue by ID","QA|Nova Bank - Infopool","Fri Apr 25 18:53:37 GMT 2025","failed","Fri Apr 25 18:53:37 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","53","Update profile - no phone number","QA|Nova Bank - Infopool","Fri Apr 25 18:53:35 GMT 2025","passed","Fri Apr 25 18:53:35 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","29","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Fri Apr 25 18:54:00 GMT 2025","passed","Fri Apr 25 18:54:00 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","41","No email - Forgot Password","QA|Nova Bank - Infopool","Fri Apr 25 18:53:33 GMT 2025","passed","Fri Apr 25 18:53:33 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","1683","Get Report Data - Dashboard","QA|Nova Bank - Infopool","Fri Apr 25 18:54:10 GMT 2025","passed","Fri Apr 25 18:54:12 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","31","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Fri Apr 25 18:53:58 GMT 2025","passed","Fri Apr 25 18:53:58 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","48","Get single definition","QA|Nova Bank - Infopool","Fri Apr 25 18:53:58 GMT 2025","passed","Fri Apr 25 18:53:58 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","109","Get events - invalid start date","QA|Nova Bank - Infopool","Fri Apr 25 18:53:35 GMT 2025","passed","Fri Apr 25 18:53:35 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","44","Update Issue","QA|Nova Bank - Infopool","Fri Apr 25 18:53:37 GMT 2025","failed","Fri Apr 25 18:53:37 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","30","No Auth - Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Fri Apr 25 18:53:39 GMT 2025","passed","Fri Apr 25 18:53:39 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","37","Get role by ID - invalid ID","QA|Nova Bank - Infopool","Fri Apr 25 18:54:02 GMT 2025","passed","Fri Apr 25 18:54:02 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","75","Create  organization","QA|Nova Bank - Infopool","Fri Apr 25 18:53:59 GMT 2025","passed","Fri Apr 25 18:53:59 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","79","update role","QA|Nova Bank - Infopool","Fri Apr 25 18:53:59 GMT 2025","passed","Fri Apr 25 18:53:59 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","281","Get Report Data - Question","QA|Nova Bank - Infopool","Fri Apr 25 18:54:10 GMT 2025","failed","Fri Apr 25 18:54:10 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","40","Invalid attachment id - Delete Attachment from Issue","QA|Nova Bank - Infopool","Fri Apr 25 18:53:37 GMT 2025","failed","Fri Apr 25 18:53:37 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","62","Add user to an organization - successful","QA|Nova Bank - Infopool","Fri Apr 25 18:54:01 GMT 2025","passed","Fri Apr 25 18:54:01 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","73","Search Customers","QA|Nova Bank - Infopool","Fri Apr 25 18:53:38 GMT 2025","passed","Fri Apr 25 18:53:38 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","35","Update profile - no auth","QA|Nova Bank - Infopool","Fri Apr 25 18:53:35 GMT 2025","passed","Fri Apr 25 18:53:35 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","45","Create organization - name already exists","QA|Nova Bank - Infopool","Fri Apr 25 18:53:59 GMT 2025","passed","Fri Apr 25 18:53:59 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","32","Create organization - empty mis code","QA|Nova Bank - Infopool","Fri Apr 25 18:54:00 GMT 2025","failed","Fri Apr 25 18:54:00 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","52","Role does not exist - update role","QA|Nova Bank - Infopool","Fri Apr 25 18:53:59 GMT 2025","passed","Fri Apr 25 18:53:59 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"Get a specific report by ID","28","Get Report by ID - No auth","QA|Nova Bank - Infopool","Fri Apr 25 18:54:03 GMT 2025","passed","Fri Apr 25 18:54:03 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","55","Update user - ID does not exist","QA|Nova Bank - Infopool","Fri Apr 25 18:53:58 GMT 2025","passed","Fri Apr 25 18:53:59 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"Get a specific report by ID","39","Get Report by ID","QA|Nova Bank - Infopool","Fri Apr 25 18:54:03 GMT 2025","passed","Fri Apr 25 18:54:03 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","32","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Fri Apr 25 18:54:01 GMT 2025","passed","Fri Apr 25 18:54:01 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","365","Create a New Issue","QA|Nova Bank - Infopool","Fri Apr 25 18:53:36 GMT 2025","passed","Fri Apr 25 18:53:36 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","54","Empty new password - Change password","QA|Nova Bank - Infopool","Fri Apr 25 18:53:34 GMT 2025","passed","Fri Apr 25 18:53:34 GMT 2025","v1 > Profile > Password","Bank User","",""
"","32","No Auth - Fetch Customers Accounts","QA|Nova Bank - Infopool","Fri Apr 25 18:53:51 GMT 2025","passed","Fri Apr 25 18:53:51 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","51","Create organization - no name","QA|Nova Bank - Infopool","Fri Apr 25 18:53:59 GMT 2025","passed","Fri Apr 25 18:53:59 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","50","Create organization - empty street value","QA|Nova Bank - Infopool","Fri Apr 25 18:53:59 GMT 2025","passed","Fri Apr 25 18:54:00 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","40","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Apr 25 18:53:33 GMT 2025","passed","Fri Apr 25 18:53:33 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"Update an existing report","50","Update Report - Invalid id","QA|Nova Bank - Infopool","Fri Apr 25 18:54:10 GMT 2025","passed","Fri Apr 25 18:54:10 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
