"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","98","verifyOTP","QA|Nova Bank - Infopool","Wed Nov 12 18:47:14 UTC 2025","broken","Wed Nov 12 18:47:14 UTC 2025","v1 > Auth > Session > verify OTP","Bank User","",""
"","95","Add user to an organization - successful","QA|Nova Bank - Infopool","Wed Nov 12 18:47:29 UTC 2025","broken","Wed Nov 12 18:47:29 UTC 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","101","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Wed Nov 12 18:47:28 UTC 2025","broken","Wed Nov 12 18:47:28 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"Delete a report (soft delete)","91","Delete Report - Invalid id","QA|Nova Bank - Infopool","Wed Nov 12 18:47:34 UTC 2025","broken","Wed Nov 12 18:47:34 UTC 2025","v1 > Report > Delete Report","Bank Admin","",""
"","90","Create  organization - without parent id","QA|Nova Bank - Infopool","Wed Nov 12 18:47:26 UTC 2025","broken","Wed Nov 12 18:47:26 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Get a paginated list of reports with optional filtering","96","Get Reports","QA|Nova Bank - Infopool","Wed Nov 12 18:47:32 UTC 2025","broken","Wed Nov 12 18:47:32 UTC 2025","v1 > Report > Get Report","Bank Admin","",""
"Update an existing report","91","Update Report - No auth","QA|Nova Bank - Infopool","Wed Nov 12 18:47:34 UTC 2025","broken","Wed Nov 12 18:47:34 UTC 2025","v1 > Report > Update Report","Bank Admin","",""
"","93","Get roles - No Auth","QA|Nova Bank - Infopool","Wed Nov 12 18:47:30 UTC 2025","broken","Wed Nov 12 18:47:30 UTC 2025","v1 > Roles > Get roles","Bank Admin","",""
"","92","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Wed Nov 12 18:47:18 UTC 2025","broken","Wed Nov 12 18:47:18 UTC 2025","v1 > Audit trail > Event","Bank User","",""
"","90","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Wed Nov 12 18:47:25 UTC 2025","broken","Wed Nov 12 18:47:25 UTC 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","88","Get permission by ID - successful","QA|Nova Bank - Infopool","Wed Nov 12 18:47:31 UTC 2025","broken","Wed Nov 12 18:47:31 UTC 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","93","Fetch Customers Transactions","QA|Nova Bank - Infopool","Wed Nov 12 18:47:23 UTC 2025","broken","Wed Nov 12 18:47:23 UTC 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","91","No Auth - Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Wed Nov 12 18:47:23 UTC 2025","broken","Wed Nov 12 18:47:23 UTC 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","91","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Wed Nov 12 18:47:28 UTC 2025","broken","Wed Nov 12 18:47:28 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","118","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Wed Nov 12 18:47:15 UTC 2025","broken","Wed Nov 12 18:47:15 UTC 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","92","Get Report Data - No auth","QA|Nova Bank - Infopool","Wed Nov 12 18:47:35 UTC 2025","broken","Wed Nov 12 18:47:35 UTC 2025","v1 > Report > Get Report Data","Bank Admin","",""
