"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","114","Remove user from an organization - successful","QA|Nova Bank - Infopool","Tue Jun 03 10:59:41 GMT 2025","passed","Tue Jun 03 10:59:41 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","97","Fetch all users in an organization","QA|Nova Bank - Infopool","Tue Jun 03 10:59:40 GMT 2025","passed","Tue Jun 03 10:59:40 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","86","Get Report Data - Invalid id","QA|Nova Bank - Infopool","Tue Jun 03 10:59:52 GMT 2025","failed","Tue Jun 03 10:59:53 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","102","Create organization - empty description","QA|Nova Bank - Infopool","Tue Jun 03 10:59:38 GMT 2025","passed","Tue Jun 03 10:59:38 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","99","Role does not exist - update role","QA|Nova Bank - Infopool","Tue Jun 03 10:59:37 GMT 2025","passed","Tue Jun 03 10:59:37 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","3161","Get single definition","QA|Nova Bank - Infopool","Tue Jun 03 10:59:29 GMT 2025","passed","Tue Jun 03 10:59:32 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","87","Export Report Data - Invalid format","QA|Nova Bank - Infopool","Tue Jun 03 10:59:53 GMT 2025","failed","Tue Jun 03 10:59:53 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","83","No Auth - Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Tue Jun 03 10:59:25 GMT 2025","passed","Tue Jun 03 10:59:25 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","124","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Tue Jun 03 10:59:09 GMT 2025","failed","Tue Jun 03 10:59:09 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","91","Get profile roles - successful","QA|Nova Bank - Infopool","Tue Jun 03 10:59:09 GMT 2025","passed","Tue Jun 03 10:59:09 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","87","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Tue Jun 03 10:59:28 GMT 2025","passed","Tue Jun 03 10:59:28 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","84","Invalid name - Search Customers","QA|Nova Bank - Infopool","Tue Jun 03 10:59:24 GMT 2025","failed","Tue Jun 03 10:59:24 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","86","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Tue Jun 03 10:59:28 GMT 2025","failed","Tue Jun 03 10:59:28 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","175","Weak password - Change password","QA|Nova Bank - Infopool","Tue Jun 03 10:59:10 GMT 2025","passed","Tue Jun 03 10:59:10 GMT 2025","v1 > Profile > Password","Bank User","",""
"","173","Invalid current password - Change password","QA|Nova Bank - Infopool","Tue Jun 03 10:59:10 GMT 2025","passed","Tue Jun 03 10:59:10 GMT 2025","v1 > Profile > Password","Bank User","",""
"","86","Fetch organizations by ID - No Auth","QA|Nova Bank - Infopool","Tue Jun 03 10:59:39 GMT 2025","failed","Tue Jun 03 10:59:39 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","106","Search Customers","QA|Nova Bank - Infopool","Tue Jun 03 10:59:24 GMT 2025","passed","Tue Jun 03 10:59:24 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","99","Get all definitions","QA|Nova Bank - Infopool","Tue Jun 03 10:59:29 GMT 2025","passed","Tue Jun 03 10:59:29 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","96","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Tue Jun 03 10:59:41 GMT 2025","passed","Tue Jun 03 10:59:41 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","82","No Auth - Get all permissions","QA|Nova Bank - Infopool","Tue Jun 03 10:59:42 GMT 2025","passed","Tue Jun 03 10:59:43 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","85","Fetch Customer By ID - invalid id","QA|Nova Bank - Infopool","Tue Jun 03 10:59:25 GMT 2025","failed","Tue Jun 03 10:59:25 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","85","No Auth - Update Issue","QA|Nova Bank - Infopool","Tue Jun 03 10:59:22 GMT 2025","passed","Tue Jun 03 10:59:22 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","123","Fetch Customer By ID","QA|Nova Bank - Infopool","Tue Jun 03 10:59:25 GMT 2025","passed","Tue Jun 03 10:59:25 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","86","Create organization - empty mis code","QA|Nova Bank - Infopool","Tue Jun 03 10:59:38 GMT 2025","failed","Tue Jun 03 10:59:38 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","86","Fetch Customers Accounts","QA|Nova Bank - Infopool","Tue Jun 03 10:59:28 GMT 2025","failed","Tue Jun 03 10:59:28 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","85","Add user to an organization - no auth","QA|Nova Bank - Infopool","Tue Jun 03 10:59:40 GMT 2025","passed","Tue Jun 03 10:59:41 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","94","Create organization - empty city value","QA|Nova Bank - Infopool","Tue Jun 03 10:59:38 GMT 2025","passed","Tue Jun 03 10:59:38 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Update an existing report","95","Update Report - Invalid id","QA|Nova Bank - Infopool","Tue Jun 03 10:59:52 GMT 2025","passed","Tue Jun 03 10:59:52 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","131","Create  organization","QA|Nova Bank - Infopool","Tue Jun 03 10:59:37 GMT 2025","passed","Tue Jun 03 10:59:37 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","82","No Auth - Fetch all organizations","QA|Nova Bank - Infopool","Tue Jun 03 10:59:39 GMT 2025","passed","Tue Jun 03 10:59:39 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","192","Get events - successful","QA|Nova Bank - Infopool","Tue Jun 03 10:59:12 GMT 2025","passed","Tue Jun 03 10:59:12 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","87","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Tue Jun 03 10:59:24 GMT 2025","failed","Tue Jun 03 10:59:24 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","86","No Auth - Search Customers","QA|Nova Bank - Infopool","Tue Jun 03 10:59:24 GMT 2025","passed","Tue Jun 03 10:59:24 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","87","Get role by ID - successful","QA|Nova Bank - Infopool","Tue Jun 03 10:59:42 GMT 2025","failed","Tue Jun 03 10:59:42 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","404","reset password","QA|Nova Bank - Infopool","Tue Jun 03 10:59:08 GMT 2025","passed","Tue Jun 03 10:59:08 GMT 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","92","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Tue Jun 03 10:59:09 GMT 2025","passed","Tue Jun 03 10:59:09 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","96","Get all permissions","QA|Nova Bank - Infopool","Tue Jun 03 10:59:42 GMT 2025","passed","Tue Jun 03 10:59:42 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","97","Invalid email format","QA|Nova Bank - Infopool","Tue Jun 03 10:59:07 GMT 2025","passed","Tue Jun 03 10:59:07 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
