"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","76","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Mon Jun 02 12:12:49 GMT 2025","passed","Mon Jun 02 12:12:49 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","6235","Invalid email format","QA|Nova Bank - Infopool","Mon Jun 02 12:12:11 GMT 2025","passed","Mon Jun 02 12:12:17 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","80","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Mon Jun 02 12:12:38 GMT 2025","passed","Mon Jun 02 12:12:38 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","80","Add attachment to issue","QA|Nova Bank - Infopool","Mon Jun 02 12:12:31 GMT 2025","failed","Mon Jun 02 12:12:31 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","92","Create organization - empty city value","QA|Nova Bank - Infopool","Mon Jun 02 12:12:46 GMT 2025","passed","Mon Jun 02 12:12:47 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","79","Create roles - empty name field","QA|Nova Bank - Infopool","Mon Jun 02 12:12:50 GMT 2025","failed","Mon Jun 02 12:12:50 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","98","Fetch all organizations","QA|Nova Bank - Infopool","Mon Jun 02 12:12:47 GMT 2025","passed","Mon Jun 02 12:12:47 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","86","Update profile - Invalid file size","QA|Nova Bank - Infopool","Mon Jun 02 12:12:21 GMT 2025","passed","Mon Jun 02 12:12:21 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","88","Empty new password - Change password","QA|Nova Bank - Infopool","Mon Jun 02 12:12:20 GMT 2025","passed","Mon Jun 02 12:12:20 GMT 2025","v1 > Profile > Password","Bank User","",""
"","170","Invalid credentials","QA|Nova Bank - Infopool","Mon Jun 02 12:12:11 GMT 2025","passed","Mon Jun 02 12:12:11 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","80","Get Report Data - Invalid id","QA|Nova Bank - Infopool","Mon Jun 02 12:13:00 GMT 2025","failed","Mon Jun 02 12:13:00 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","231","Get profile - successfully","QA|Nova Bank - Infopool","Mon Jun 02 12:12:20 GMT 2025","passed","Mon Jun 02 12:12:20 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","85","Send user invitation token - successful","QA|Nova Bank - Infopool","Mon Jun 02 12:12:22 GMT 2025","passed","Mon Jun 02 12:12:22 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"Create a new report","89","Create Report - Empty category","QA|Nova Bank - Infopool","Mon Jun 02 12:13:00 GMT 2025","failed","Mon Jun 02 12:13:00 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","90","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Mon Jun 02 12:12:46 GMT 2025","passed","Mon Jun 02 12:12:46 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","80","Get events - no auth","QA|Nova Bank - Infopool","Mon Jun 02 12:12:21 GMT 2025","passed","Mon Jun 02 12:12:21 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","79","No auth - managers","QA|Nova Bank - Infopool","Mon Jun 02 12:12:49 GMT 2025","passed","Mon Jun 02 12:12:49 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","81","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Mon Jun 02 12:12:31 GMT 2025","passed","Mon Jun 02 12:12:31 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
