"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26","Create  organization","QA|Nova Bank - Infopool","Sun Jun 08 20:52:38 GMT 2025","passed","Sun Jun 08 20:52:38 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","24","get all category","QA|Nova Bank - Infopool","Sun Jun 08 20:52:39 GMT 2025","passed","Sun Jun 08 20:52:39 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","26","Update user - ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 20:52:38 GMT 2025","passed","Sun Jun 08 20:52:38 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","839","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Sun Jun 08 20:51:27 GMT 2025","passed","Sun Jun 08 20:51:28 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"Get a paginated list of reports with optional filtering","25","Get Reports - No auth","QA|Nova Bank - Infopool","Sun Jun 08 20:52:40 GMT 2025","passed","Sun Jun 08 20:52:40 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"Create a new report","25","Create Report - No auth","QA|Nova Bank - Infopool","Sun Jun 08 20:52:40 GMT 2025","passed","Sun Jun 08 20:52:40 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","34","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 20:51:12 GMT 2025","passed","Sun Jun 08 20:51:12 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","27","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Sun Jun 08 20:52:37 GMT 2025","passed","Sun Jun 08 20:52:37 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"Get a paginated list of reports with optional filtering","24","Get Report Objects - Question","QA|Nova Bank - Infopool","Sun Jun 08 20:52:40 GMT 2025","passed","Sun Jun 08 20:52:40 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","54","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Sun Jun 08 20:51:26 GMT 2025","failed","Sun Jun 08 20:51:26 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","36","No Auth - Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 20:51:27 GMT 2025","passed","Sun Jun 08 20:51:27 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","25","Create organization - empty mis code","QA|Nova Bank - Infopool","Sun Jun 08 20:52:38 GMT 2025","passed","Sun Jun 08 20:52:38 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","26","category by id","QA|Nova Bank - Infopool","Sun Jun 08 20:52:39 GMT 2025","passed","Sun Jun 08 20:52:39 GMT 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","60","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Sun Jun 08 20:51:26 GMT 2025","passed","Sun Jun 08 20:51:26 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","27","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Sun Jun 08 20:52:39 GMT 2025","passed","Sun Jun 08 20:52:39 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","42","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 20:51:27 GMT 2025","failed","Sun Jun 08 20:51:27 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","27","Create organization - business manager ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 20:52:38 GMT 2025","passed","Sun Jun 08 20:52:38 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","26","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Sun Jun 08 20:52:37 GMT 2025","passed","Sun Jun 08 20:52:37 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","24","Logout session successfully","QA|Nova Bank - Infopool","Sun Jun 08 20:52:39 GMT 2025","passed","Sun Jun 08 20:52:40 GMT 2025","v1 > Logout","Bank Admin","",""
"","27","Get roles - successful","QA|Nova Bank - Infopool","Sun Jun 08 20:52:39 GMT 2025","passed","Sun Jun 08 20:52:39 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","26","Get Report Data - Invalid id","QA|Nova Bank - Infopool","Sun Jun 08 20:52:40 GMT 2025","passed","Sun Jun 08 20:52:40 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","58","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 20:51:18 GMT 2025","passed","Sun Jun 08 20:51:18 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","23","Health","QA|Nova Bank - Infopool","Sun Jun 08 20:52:37 GMT 2025","passed","Sun Jun 08 20:52:37 GMT 2025","v1 > Health","Bank Admin","",""
"","28","Create organization - no country ID","QA|Nova Bank - Infopool","Sun Jun 08 20:52:38 GMT 2025","passed","Sun Jun 08 20:52:38 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","27","Export Report Data","QA|Nova Bank - Infopool","Sun Jun 08 20:52:40 GMT 2025","failed","Sun Jun 08 20:52:40 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","25","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 20:52:39 GMT 2025","passed","Sun Jun 08 20:52:39 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","27","successfully create corporate_adjustment","QA|Nova Bank - Infopool","Sun Jun 08 20:52:40 GMT 2025","passed","Sun Jun 08 20:52:40 GMT 2025","","corporate Adjustment","",""
"","26","Create roles - No auth","QA|Nova Bank - Infopool","Sun Jun 08 20:52:39 GMT 2025","passed","Sun Jun 08 20:52:39 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","25","Get role by ID - invalid ID","QA|Nova Bank - Infopool","Sun Jun 08 20:52:39 GMT 2025","passed","Sun Jun 08 20:52:39 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","26","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 20:52:37 GMT 2025","passed","Sun Jun 08 20:52:37 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","39","Update Customer Comment Copy","QA|Nova Bank - Infopool","Sun Jun 08 20:51:26 GMT 2025","passed","Sun Jun 08 20:51:26 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","445","Weak password - Change password","QA|Nova Bank - Infopool","Sun Jun 08 20:51:15 GMT 2025","passed","Sun Jun 08 20:51:15 GMT 2025","v1 > Profile > Password","Bank User","",""
"","33","Fetch Customer Comments","QA|Nova Bank - Infopool","Sun Jun 08 20:51:26 GMT 2025","failed","Sun Jun 08 20:51:26 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","6226","Invalid email format","QA|Nova Bank - Infopool","Sun Jun 08 20:51:05 GMT 2025","passed","Sun Jun 08 20:51:11 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"Get a paginated list of reports with optional filtering","22","Get Reports Stats","QA|Nova Bank - Infopool","Sun Jun 08 20:52:40 GMT 2025","passed","Sun Jun 08 20:52:40 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","162","Get events - invalid end date","QA|Nova Bank - Infopool","Sun Jun 08 20:51:17 GMT 2025","passed","Sun Jun 08 20:51:17 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","47","Empty new password - Change password","QA|Nova Bank - Infopool","Sun Jun 08 20:51:15 GMT 2025","passed","Sun Jun 08 20:51:15 GMT 2025","v1 > Profile > Password","Bank User","",""
"Get a specific report by ID","23","Get Report by ID","QA|Nova Bank - Infopool","Sun Jun 08 20:52:40 GMT 2025","passed","Sun Jun 08 20:52:40 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","41","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Sun Jun 08 20:51:25 GMT 2025","failed","Sun Jun 08 20:51:25 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
