"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","85","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Tue Jun 03 12:16:21 GMT 2025","passed","Tue Jun 03 12:16:21 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"Get a specific report by ID","89","Get Report by UUID - Invalid uuid","QA|Nova Bank - Infopool","Tue Jun 03 12:17:04 GMT 2025","passed","Tue Jun 03 12:17:04 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","81","Add user to an organization - no auth","QA|Nova Bank - Infopool","Tue Jun 03 12:16:53 GMT 2025","passed","Tue Jun 03 12:16:53 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","92","get user role","QA|Nova Bank - Infopool","Tue Jun 03 12:16:50 GMT 2025","passed","Tue Jun 03 12:16:50 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","80","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Tue Jun 03 12:16:45 GMT 2025","failed","Tue Jun 03 12:16:45 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","93","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Tue Jun 03 12:16:51 GMT 2025","passed","Tue Jun 03 12:16:51 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","83","Empty authentication type - Send user invitation token","QA|Nova Bank - Infopool","Tue Jun 03 12:16:26 GMT 2025","passed","Tue Jun 03 12:16:26 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","81","Delete Customer Comment","QA|Nova Bank - Infopool","Tue Jun 03 12:16:37 GMT 2025","failed","Tue Jun 03 12:16:37 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","187","Get events - successful","QA|Nova Bank - Infopool","Tue Jun 03 12:16:25 GMT 2025","passed","Tue Jun 03 12:16:25 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","99","Create organization - empty description","QA|Nova Bank - Infopool","Tue Jun 03 12:16:51 GMT 2025","passed","Tue Jun 03 12:16:51 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","233","Get profile - successfully","QA|Nova Bank - Infopool","Tue Jun 03 12:16:24 GMT 2025","passed","Tue Jun 03 12:16:24 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","91","No user credentials","QA|Nova Bank - Infopool","Tue Jun 03 12:16:21 GMT 2025","passed","Tue Jun 03 12:16:21 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","87","Add attachment to issue","QA|Nova Bank - Infopool","Tue Jun 03 12:16:36 GMT 2025","failed","Tue Jun 03 12:16:36 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","148","Get events - invalid end date","QA|Nova Bank - Infopool","Tue Jun 03 12:16:25 GMT 2025","passed","Tue Jun 03 12:16:25 GMT 2025","v1 > Audit trail > Event","Bank User","",""
