"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32","No auth - get user role","QA|Nova Bank - Infopool","Tue May 27 23:57:01 GMT 2025","passed","Tue May 27 23:57:01 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","36","Update profile - Invalid file size","QA|Nova Bank - Infopool","Tue May 27 23:56:54 GMT 2025","failed","Tue May 27 23:56:54 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","34","Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Tue May 27 23:57:09 GMT 2025","failed","Tue May 27 23:57:09 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","35","Update organization details by ID - incorrect business manager ID","QA|Nova Bank - Infopool","Tue May 27 23:57:09 GMT 2025","failed","Tue May 27 23:57:09 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","52","Search Customers","QA|Nova Bank - Infopool","Tue May 27 23:56:57 GMT 2025","passed","Tue May 27 23:56:57 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","53","Create organization - empty city value","QA|Nova Bank - Infopool","Tue May 27 23:57:08 GMT 2025","passed","Tue May 27 23:57:08 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","32","Health","QA|Nova Bank - Infopool","Tue May 27 23:57:00 GMT 2025","passed","Tue May 27 23:57:00 GMT 2025","v1 > Health","Bank Admin","",""
"","35","Invalid attachment id - Delete Attachment from Issue","QA|Nova Bank - Infopool","Tue May 27 23:56:57 GMT 2025","failed","Tue May 27 23:56:57 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","56","Update user - ID does not exist","QA|Nova Bank - Infopool","Tue May 27 23:57:01 GMT 2025","passed","Tue May 27 23:57:01 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","35","Get events - no auth","QA|Nova Bank - Infopool","Tue May 27 23:56:55 GMT 2025","passed","Tue May 27 23:56:55 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","33","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Tue May 27 23:57:01 GMT 2025","passed","Tue May 27 23:57:01 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
