"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","540","Add Comment to Issue","QA|Nova Bank - Infopool","Sun Jun 08 22:53:23 GMT 2025","passed","Sun Jun 08 22:53:24 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","145","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Sun Jun 08 22:53:25 GMT 2025","passed","Sun Jun 08 22:53:26 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","1038","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Sun Jun 08 22:53:29 GMT 2025","passed","Sun Jun 08 22:53:30 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","83","No auth - Create  organization","QA|Nova Bank - Infopool","Sun Jun 08 22:54:45 GMT 2025","passed","Sun Jun 08 22:54:46 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","918","Get Issue by ID","QA|Nova Bank - Infopool","Sun Jun 08 22:53:19 GMT 2025","passed","Sun Jun 08 22:53:19 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","144","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Sun Jun 08 22:52:53 GMT 2025","passed","Sun Jun 08 22:52:53 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","342","Get events - successful","QA|Nova Bank - Infopool","Sun Jun 08 22:53:09 GMT 2025","passed","Sun Jun 08 22:53:09 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","82","Fetch all users","QA|Nova Bank - Infopool","Sun Jun 08 22:54:44 GMT 2025","passed","Sun Jun 08 22:54:44 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","81","Update organization details by ID - successful","QA|Nova Bank - Infopool","Sun Jun 08 22:54:47 GMT 2025","passed","Sun Jun 08 22:54:47 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","3134","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Sun Jun 08 22:54:40 GMT 2025","passed","Sun Jun 08 22:54:43 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","81","Create organization - empty street value","QA|Nova Bank - Infopool","Sun Jun 08 22:54:46 GMT 2025","passed","Sun Jun 08 22:54:46 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","640","Add user to an organization - successful","QA|Nova Bank - Infopool","Sun Jun 08 22:54:49 GMT 2025","passed","Sun Jun 08 22:54:50 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","349","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 22:54:50 GMT 2025","passed","Sun Jun 08 22:54:51 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","3246","Update profile - no phone number","QA|Nova Bank - Infopool","Sun Jun 08 22:53:05 GMT 2025","passed","Sun Jun 08 22:53:08 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","4353","Update profile - successful","QA|Nova Bank - Infopool","Sun Jun 08 22:53:00 GMT 2025","passed","Sun Jun 08 22:53:05 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","79","get user role","QA|Nova Bank - Infopool","Sun Jun 08 22:54:45 GMT 2025","passed","Sun Jun 08 22:54:45 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
