"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","95","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Fri Aug 22 18:57:37 UTC 2025","passed","Fri Aug 22 18:57:38 UTC 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","479","Fetch all users","QA|Nova Bank - Infopool","Fri Aug 22 18:57:34 UTC 2025","passed","Fri Aug 22 18:57:35 UTC 2025","v1 > Users > Fetch users","Bank Admin","",""
"","85","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Fri Aug 22 18:57:21 UTC 2025","passed","Fri Aug 22 18:57:21 UTC 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","131","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Fri Aug 22 18:57:08 UTC 2025","passed","Fri Aug 22 18:57:09 UTC 2025","v1 > Audit trail > Event","Bank User","",""
"","87","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Fri Aug 22 18:57:38 UTC 2025","passed","Fri Aug 22 18:57:38 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","104","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Fri Aug 22 18:57:20 UTC 2025","passed","Fri Aug 22 18:57:20 UTC 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","86","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Fri Aug 22 18:57:33 UTC 2025","passed","Fri Aug 22 18:57:33 UTC 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","84","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Fri Aug 22 18:57:29 UTC 2025","passed","Fri Aug 22 18:57:30 UTC 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","6256","Invalid email format","QA|Nova Bank - Infopool","Fri Aug 22 18:56:56 UTC 2025","passed","Fri Aug 22 18:57:03 UTC 2025","v1 > Auth > Session > Login","Bank User","",""
"","86","Empty authentication type - Send user invitation token","QA|Nova Bank - Infopool","Fri Aug 22 18:57:09 UTC 2025","passed","Fri Aug 22 18:57:10 UTC 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","91","successful dashboard embed","QA|Nova Bank - Infopool","Fri Aug 22 18:57:33 UTC 2025","passed","Fri Aug 22 18:57:33 UTC 2025","embed dashboard","Bank User","",""
"","508","Get Issue by ID","QA|Nova Bank - Infopool","Fri Aug 22 18:57:18 UTC 2025","passed","Fri Aug 22 18:57:18 UTC 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","84","No auth - update role","QA|Nova Bank - Infopool","Fri Aug 22 18:57:36 UTC 2025","passed","Fri Aug 22 18:57:36 UTC 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","214","Get events - successful","QA|Nova Bank - Infopool","Fri Aug 22 18:57:08 UTC 2025","passed","Fri Aug 22 18:57:08 UTC 2025","v1 > Audit trail > Event","Bank User","",""
"","94","Create organization - empty city value","QA|Nova Bank - Infopool","Fri Aug 22 18:57:37 UTC 2025","failed","Fri Aug 22 18:57:37 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
