"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","45","Update Issue","QA|Nova Bank - Infopool","Thu Jun 05 22:51:21 GMT 2025","failed","Thu Jun 05 22:51:21 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","56","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Thu Jun 05 22:51:19 GMT 2025","passed","Thu Jun 05 22:51:19 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","139","Get events - successful","QA|Nova Bank - Infopool","Thu Jun 05 22:51:18 GMT 2025","passed","Thu Jun 05 22:51:18 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","46","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Thu Jun 05 22:51:16 GMT 2025","passed","Thu Jun 05 22:51:16 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","35","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Thu Jun 05 22:52:40 GMT 2025","passed","Thu Jun 05 22:52:40 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","35","Get role by ID - invalid ID","QA|Nova Bank - Infopool","Thu Jun 05 22:52:40 GMT 2025","passed","Thu Jun 05 22:52:40 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","48","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Thu Jun 05 22:51:20 GMT 2025","passed","Thu Jun 05 22:51:20 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","35","get all category","QA|Nova Bank - Infopool","Thu Jun 05 22:52:40 GMT 2025","passed","Thu Jun 05 22:52:40 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","56","resend_invitation_toUser","QA|Nova Bank - Infopool","Thu Jun 05 22:51:19 GMT 2025","passed","Thu Jun 05 22:51:19 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","36","Fetch all organizations","QA|Nova Bank - Infopool","Thu Jun 05 22:52:39 GMT 2025","passed","Thu Jun 05 22:52:39 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","35","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Thu Jun 05 22:52:37 GMT 2025","passed","Thu Jun 05 22:52:37 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","111","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Thu Jun 05 22:51:20 GMT 2025","failed","Thu Jun 05 22:51:20 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","299","Change password - successful","QA|Nova Bank - Infopool","Thu Jun 05 22:51:17 GMT 2025","passed","Thu Jun 05 22:51:17 GMT 2025","v1 > Profile > Password","Bank User","",""
"","234","audit-search","QA|Nova Bank - Infopool","Thu Jun 05 22:51:19 GMT 2025","passed","Thu Jun 05 22:51:19 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","87","Forgot password - successful","QA|Nova Bank - Infopool","Thu Jun 05 22:51:16 GMT 2025","failed","Thu Jun 05 22:51:16 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","38","No Auth - Search Customers","QA|Nova Bank - Infopool","Thu Jun 05 22:51:22 GMT 2025","passed","Thu Jun 05 22:51:22 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","35","managers","QA|Nova Bank - Infopool","Thu Jun 05 22:52:40 GMT 2025","passed","Thu Jun 05 22:52:40 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","46","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Thu Jun 05 22:51:16 GMT 2025","passed","Thu Jun 05 22:51:16 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","38","Update definition","QA|Nova Bank - Infopool","Thu Jun 05 22:52:38 GMT 2025","passed","Thu Jun 05 22:52:38 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","34","No auth - managers","QA|Nova Bank - Infopool","Thu Jun 05 22:52:40 GMT 2025","passed","Thu Jun 05 22:52:40 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","103","No auth - Create a New Issue","QA|Nova Bank - Infopool","Thu Jun 05 22:51:20 GMT 2025","passed","Thu Jun 05 22:51:20 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
