"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","136","Update organization details by ID - incorrect business manager ID","QA|Nova Bank - Infopool","Sun Nov 30 20:12:29 UTC 2025","broken","Sun Nov 30 20:12:29 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","129","No_auth_add_comments","QA|Nova Bank - Infopool","Sun Nov 30 20:12:19 UTC 2025","broken","Sun Nov 30 20:12:19 UTC 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","135","Fetch all organizations","QA|Nova Bank - Infopool","Sun Nov 30 20:12:28 UTC 2025","broken","Sun Nov 30 20:12:28 UTC 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","129","Logout session - no session","QA|Nova Bank - Infopool","Sun Nov 30 20:12:34 UTC 2025","broken","Sun Nov 30 20:12:34 UTC 2025","v1 > Logout","Bank Admin","",""
"","129","Update organization details by ID - successful","QA|Nova Bank - Infopool","Sun Nov 30 20:12:28 UTC 2025","broken","Sun Nov 30 20:12:28 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"Update an existing report","126","Update Report - No auth","QA|Nova Bank - Infopool","Sun Nov 30 20:12:37 UTC 2025","broken","Sun Nov 30 20:12:37 UTC 2025","v1 > Report > Update Report","Bank Admin","",""
"","132","Update role status","QA|Nova Bank - Infopool","Sun Nov 30 20:12:32 UTC 2025","broken","Sun Nov 30 20:12:32 UTC 2025","v1 > Roles > Update role","Bank Admin","",""
"","127","managers","QA|Nova Bank - Infopool","Sun Nov 30 20:12:31 UTC 2025","broken","Sun Nov 30 20:12:31 UTC 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"Get a specific report by ID","128","Get Report by ID - Invalid id","QA|Nova Bank - Infopool","Sun Nov 30 20:12:36 UTC 2025","broken","Sun Nov 30 20:12:36 UTC 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","130","Create organization - empty city value","QA|Nova Bank - Infopool","Sun Nov 30 20:12:27 UTC 2025","broken","Sun Nov 30 20:12:27 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","129","Empty new password - Change password","QA|Nova Bank - Infopool","Sun Nov 30 20:12:12 UTC 2025","broken","Sun Nov 30 20:12:12 UTC 2025","v1 > Profile > Password","Bank User","",""
"","130","No auth - get all category","QA|Nova Bank - Infopool","Sun Nov 30 20:12:34 UTC 2025","broken","Sun Nov 30 20:12:34 UTC 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","123","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Sun Nov 30 20:12:28 UTC 2025","broken","Sun Nov 30 20:12:28 UTC 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","149","No auth - Create a New Issue","QA|Nova Bank - Infopool","Sun Nov 30 20:12:16 UTC 2025","broken","Sun Nov 30 20:12:16 UTC 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","131","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Sun Nov 30 20:12:19 UTC 2025","broken","Sun Nov 30 20:12:20 UTC 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","137","Update organization details by ID - parent_id","QA|Nova Bank - Infopool","Sun Nov 30 20:12:29 UTC 2025","broken","Sun Nov 30 20:12:29 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","128","Invalid name - Search Customers","QA|Nova Bank - Infopool","Sun Nov 30 20:12:20 UTC 2025","broken","Sun Nov 30 20:12:20 UTC 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","134","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Sun Nov 30 20:12:18 UTC 2025","broken","Sun Nov 30 20:12:19 UTC 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","124","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Sun Nov 30 20:12:27 UTC 2025","broken","Sun Nov 30 20:12:27 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","125","get user role","QA|Nova Bank - Infopool","Sun Nov 30 20:12:25 UTC 2025","broken","Sun Nov 30 20:12:25 UTC 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","152","reset password","QA|Nova Bank - Infopool","Sun Nov 30 20:12:10 UTC 2025","broken","Sun Nov 30 20:12:10 UTC 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"","146","verifyOTP","QA|Nova Bank - Infopool","Sun Nov 30 20:12:09 UTC 2025","broken","Sun Nov 30 20:12:09 UTC 2025","v1 > Auth > Session > verify OTP","Bank User","",""
"","134","Invalid attachment id - Delete Attachment from Issue","QA|Nova Bank - Infopool","Sun Nov 30 20:12:18 UTC 2025","broken","Sun Nov 30 20:12:18 UTC 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","126","Get Issue by ID","QA|Nova Bank - Infopool","Sun Nov 30 20:12:17 UTC 2025","broken","Sun Nov 30 20:12:17 UTC 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","136","Create organization - name already exists","QA|Nova Bank - Infopool","Sun Nov 30 20:12:26 UTC 2025","broken","Sun Nov 30 20:12:27 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","128","Fetch Customer By ID - invalid id","QA|Nova Bank - Infopool","Sun Nov 30 20:12:21 UTC 2025","broken","Sun Nov 30 20:12:21 UTC 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","124","audit trail - No Auth","QA|Nova Bank - Infopool","Sun Nov 30 20:12:14 UTC 2025","broken","Sun Nov 30 20:12:14 UTC 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","129","No email - Forgot Password","QA|Nova Bank - Infopool","Sun Nov 30 20:12:09 UTC 2025","broken","Sun Nov 30 20:12:09 UTC 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","133","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Sun Nov 30 20:12:23 UTC 2025","broken","Sun Nov 30 20:12:23 UTC 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","132","No auth - Update role status","QA|Nova Bank - Infopool","Sun Nov 30 20:12:32 UTC 2025","broken","Sun Nov 30 20:12:32 UTC 2025","v1 > Roles > Update role","Bank Admin","",""
"","128","Fetch user by ID - successful","QA|Nova Bank - Infopool","Sun Nov 30 20:12:24 UTC 2025","broken","Sun Nov 30 20:12:24 UTC 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","128","Get permission by ID - ID does not exist","QA|Nova Bank - Infopool","Sun Nov 30 20:12:33 UTC 2025","broken","Sun Nov 30 20:12:33 UTC 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","124","Get profile roles - No Auth","QA|Nova Bank - Infopool","Sun Nov 30 20:12:11 UTC 2025","broken","Sun Nov 30 20:12:11 UTC 2025","v1 > Profile > Roles","Bank User","",""
"","126","Get events - no auth","QA|Nova Bank - Infopool","Sun Nov 30 20:12:14 UTC 2025","broken","Sun Nov 30 20:12:14 UTC 2025","v1 > Audit trail > Event","Bank User","",""
"","126","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Sun Nov 30 20:12:29 UTC 2025","broken","Sun Nov 30 20:12:30 UTC 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","133","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Sun Nov 30 20:12:31 UTC 2025","broken","Sun Nov 30 20:12:31 UTC 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"Get a paginated list of reports with optional filtering","127","Get Reports - No auth","QA|Nova Bank - Infopool","Sun Nov 30 20:12:34 UTC 2025","broken","Sun Nov 30 20:12:34 UTC 2025","v1 > Report > Get Report","Bank Admin","",""
"","125","Fetch Customer By ID no Auth","QA|Nova Bank - Infopool","Sun Nov 30 20:12:21 UTC 2025","broken","Sun Nov 30 20:12:21 UTC 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"Delete a report (soft delete)","127","Delete Report - Invalid id","QA|Nova Bank - Infopool","Sun Nov 30 20:12:37 UTC 2025","broken","Sun Nov 30 20:12:37 UTC 2025","v1 > Report > Delete Report","Bank Admin","",""
"","135","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Sun Nov 30 20:12:19 UTC 2025","broken","Sun Nov 30 20:12:19 UTC 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","123","Weak password - Change password","QA|Nova Bank - Infopool","Sun Nov 30 20:12:12 UTC 2025","broken","Sun Nov 30 20:12:12 UTC 2025","v1 > Profile > Password","Bank User","",""
"","130","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Sun Nov 30 20:12:20 UTC 2025","broken","Sun Nov 30 20:12:20 UTC 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","138","Role does not exist - update role","QA|Nova Bank - Infopool","Sun Nov 30 20:12:26 UTC 2025","broken","Sun Nov 30 20:12:26 UTC 2025","v1 > Users > Role > Update role","Bank Admin","",""
"Create a new report","131","Create Report","QA|Nova Bank - Infopool","Sun Nov 30 20:12:36 UTC 2025","broken","Sun Nov 30 20:12:36 UTC 2025","v1 > Report > Create Report","Bank Admin","",""
"","130","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Sun Nov 30 20:12:15 UTC 2025","broken","Sun Nov 30 20:12:15 UTC 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","134","Get single definition","QA|Nova Bank - Infopool","Sun Nov 30 20:12:23 UTC 2025","broken","Sun Nov 30 20:12:23 UTC 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
