"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","106","Update user - empty action field","QA|Nova Bank - Infopool","Mon Apr 14 07:33:38 GMT 2025","passed","Mon Apr 14 07:33:38 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","91","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Mon Apr 14 07:33:40 GMT 2025","passed","Mon Apr 14 07:33:40 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","93","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Mon Apr 14 07:33:09 GMT 2025","passed","Mon Apr 14 07:33:09 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"Get a specific report by ID","95","Get Report by ID","QA|Nova Bank - Infopool","Mon Apr 14 07:33:52 GMT 2025","passed","Mon Apr 14 07:33:53 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","104","Fetch all organizations","QA|Nova Bank - Infopool","Mon Apr 14 07:33:40 GMT 2025","passed","Mon Apr 14 07:33:40 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","114","Update user - successful","QA|Nova Bank - Infopool","Mon Apr 14 07:33:37 GMT 2025","passed","Mon Apr 14 07:33:37 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","100","Get all permissions","QA|Nova Bank - Infopool","Mon Apr 14 07:33:50 GMT 2025","passed","Mon Apr 14 07:33:50 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","101","Fetch all users in an organization","QA|Nova Bank - Infopool","Mon Apr 14 07:33:42 GMT 2025","passed","Mon Apr 14 07:33:42 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","145","Get events - invalid end date","QA|Nova Bank - Infopool","Mon Apr 14 07:33:06 GMT 2025","passed","Mon Apr 14 07:33:06 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","106","Update Customer Comment","QA|Nova Bank - Infopool","Mon Apr 14 07:33:17 GMT 2025","passed","Mon Apr 14 07:33:17 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","259","Empty issue - Create a New Issue","QA|Nova Bank - Infopool","Mon Apr 14 07:33:08 GMT 2025","passed","Mon Apr 14 07:33:08 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","120","Search Customers","QA|Nova Bank - Infopool","Mon Apr 14 07:33:18 GMT 2025","passed","Mon Apr 14 07:33:18 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","91","Create organization - empty mis code","QA|Nova Bank - Infopool","Mon Apr 14 07:33:40 GMT 2025","failed","Mon Apr 14 07:33:40 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","89","Get profile - user not logged in","QA|Nova Bank - Infopool","Mon Apr 14 07:33:04 GMT 2025","passed","Mon Apr 14 07:33:05 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","128","Fetch Customer By ID","QA|Nova Bank - Infopool","Mon Apr 14 07:33:18 GMT 2025","passed","Mon Apr 14 07:33:18 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","88","Get events - no auth","QA|Nova Bank - Infopool","Mon Apr 14 07:33:05 GMT 2025","passed","Mon Apr 14 07:33:06 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","88","Add user to an organization - no auth","QA|Nova Bank - Infopool","Mon Apr 14 07:33:42 GMT 2025","passed","Mon Apr 14 07:33:42 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","92","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Mon Apr 14 07:33:03 GMT 2025","passed","Mon Apr 14 07:33:03 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","96","Invalid attachment id - Delete Attachment from Issue","QA|Nova Bank - Infopool","Mon Apr 14 07:33:16 GMT 2025","failed","Mon Apr 14 07:33:16 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","106","Empty new password - Change password","QA|Nova Bank - Infopool","Mon Apr 14 07:33:04 GMT 2025","passed","Mon Apr 14 07:33:04 GMT 2025","v1 > Profile > Password","Bank User","",""
"","878","Successful login","QA|Nova Bank - Infopool","Mon Apr 14 07:32:54 GMT 2025","passed","Mon Apr 14 07:32:55 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","86","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Mon Apr 14 07:33:16 GMT 2025","passed","Mon Apr 14 07:33:16 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","102","get user role","QA|Nova Bank - Infopool","Mon Apr 14 07:33:38 GMT 2025","passed","Mon Apr 14 07:33:38 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","88","No Auth - Update Issue","QA|Nova Bank - Infopool","Mon Apr 14 07:33:15 GMT 2025","passed","Mon Apr 14 07:33:15 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","1342","Get Report Data - Question","QA|Nova Bank - Infopool","Mon Apr 14 07:34:00 GMT 2025","passed","Mon Apr 14 07:34:02 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"Create a new report","132","Create Report","QA|Nova Bank - Infopool","Mon Apr 14 07:33:53 GMT 2025","passed","Mon Apr 14 07:33:53 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","99","Update Issue","QA|Nova Bank - Infopool","Mon Apr 14 07:33:15 GMT 2025","failed","Mon Apr 14 07:33:15 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","186","Weak password - Change password","QA|Nova Bank - Infopool","Mon Apr 14 07:33:04 GMT 2025","passed","Mon Apr 14 07:33:04 GMT 2025","v1 > Profile > Password","Bank User","",""
"","110","Create organization - business manager ID does not exist","QA|Nova Bank - Infopool","Mon Apr 14 07:33:39 GMT 2025","passed","Mon Apr 14 07:33:39 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
