"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","36","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Wed May 28 00:18:41 GMT 2025","failed","Wed May 28 00:18:41 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","39","No Auth - Change password","QA|Nova Bank - Infopool","Wed May 28 00:18:28 GMT 2025","passed","Wed May 28 00:18:28 GMT 2025","v1 > Profile > Password","Bank User","",""
"","3135","Fetch Customers Accounts","QA|Nova Bank - Infopool","Wed May 28 00:18:38 GMT 2025","failed","Wed May 28 00:18:41 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","46","Update role status - role does not exist","QA|Nova Bank - Infopool","Wed May 28 00:18:45 GMT 2025","passed","Wed May 28 00:18:45 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","34","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Wed May 28 00:18:32 GMT 2025","failed","Wed May 28 00:18:32 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","40","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed May 28 00:18:28 GMT 2025","passed","Wed May 28 00:18:28 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","51","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Wed May 28 00:18:43 GMT 2025","passed","Wed May 28 00:18:44 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","40","Empty authentication type - Send user invitation token","QA|Nova Bank - Infopool","Wed May 28 00:18:30 GMT 2025","passed","Wed May 28 00:18:30 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","54","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Wed May 28 00:18:44 GMT 2025","passed","Wed May 28 00:18:44 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","42","Get permission by ID - successful","QA|Nova Bank - Infopool","Wed May 28 00:18:45 GMT 2025","failed","Wed May 28 00:18:45 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","37","Update organization details by ID - incorrect business manager ID","QA|Nova Bank - Infopool","Wed May 28 00:18:44 GMT 2025","failed","Wed May 28 00:18:44 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","37","Create organization - empty street value","QA|Nova Bank - Infopool","Wed May 28 00:18:43 GMT 2025","failed","Wed May 28 00:18:43 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","50","Fetch all organizations","QA|Nova Bank - Infopool","Wed May 28 00:18:43 GMT 2025","passed","Wed May 28 00:18:43 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","61","verify OTP","QA|Nova Bank - Infopool","Wed May 28 00:18:28 GMT 2025","passed","Wed May 28 00:18:28 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","35","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Wed May 28 00:18:31 GMT 2025","passed","Wed May 28 00:18:31 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","35","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Wed May 28 00:18:44 GMT 2025","failed","Wed May 28 00:18:44 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","36","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Wed May 28 00:18:32 GMT 2025","failed","Wed May 28 00:18:32 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","35","Update user - no auth","QA|Nova Bank - Infopool","Wed May 28 00:18:42 GMT 2025","failed","Wed May 28 00:18:42 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"Get a paginated list of reports with optional filtering","35","Get Reports Stats","QA|Nova Bank - Infopool","Wed May 28 00:18:45 GMT 2025","failed","Wed May 28 00:18:45 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"Get a paginated list of reports with optional filtering","36","Get Reports - No auth","QA|Nova Bank - Infopool","Wed May 28 00:18:45 GMT 2025","passed","Wed May 28 00:18:45 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","44","Get single definition","QA|Nova Bank - Infopool","Wed May 28 00:18:41 GMT 2025","passed","Wed May 28 00:18:41 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","87","Forgot password - successful","QA|Nova Bank - Infopool","Wed May 28 00:18:27 GMT 2025","failed","Wed May 28 00:18:27 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","65","Remove user from an organization - successful","QA|Nova Bank - Infopool","Wed May 28 00:18:44 GMT 2025","passed","Wed May 28 00:18:44 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","54","Create organization - no country ID","QA|Nova Bank - Infopool","Wed May 28 00:18:43 GMT 2025","passed","Wed May 28 00:18:43 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","37","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Wed May 28 00:18:44 GMT 2025","failed","Wed May 28 00:18:44 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"Update an existing report","36","Update Report - Invalid id","QA|Nova Bank - Infopool","Wed May 28 00:18:46 GMT 2025","failed","Wed May 28 00:18:46 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
