"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","38","No auth - Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Fri May 30 17:46:47 GMT 2025","passed","Fri May 30 17:46:47 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","46","Update profile","QA|Nova Bank - Infopool","Fri May 30 17:46:32 GMT 2025","failed","Fri May 30 17:46:32 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","45","Empty new password - Change password","QA|Nova Bank - Infopool","Fri May 30 17:46:31 GMT 2025","passed","Fri May 30 17:46:32 GMT 2025","v1 > Profile > Password","Bank User","",""
"","47","Update profile - invalid phone number","QA|Nova Bank - Infopool","Fri May 30 17:46:32 GMT 2025","passed","Fri May 30 17:46:32 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","2344","Fetch Customers Transactions","QA|Nova Bank - Infopool","Fri May 30 17:46:36 GMT 2025","passed","Fri May 30 17:46:38 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","37","Empty authentication type - Send user invitation token","QA|Nova Bank - Infopool","Fri May 30 17:46:33 GMT 2025","passed","Fri May 30 17:46:33 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","37","Fetch Customer By ID no Auth","QA|Nova Bank - Infopool","Fri May 30 17:46:35 GMT 2025","passed","Fri May 30 17:46:36 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","36","No auth - managers","QA|Nova Bank - Infopool","Fri May 30 17:46:48 GMT 2025","passed","Fri May 30 17:46:48 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"Get a paginated list of reports with optional filtering","36","Get Report Objects - No Auth","QA|Nova Bank - Infopool","Fri May 30 17:46:49 GMT 2025","passed","Fri May 30 17:46:49 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","46","Role does not exist - update role","QA|Nova Bank - Infopool","Fri May 30 17:46:39 GMT 2025","passed","Fri May 30 17:46:40 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","39","Update profile - No Auth","QA|Nova Bank - Infopool","Fri May 30 17:46:32 GMT 2025","passed","Fri May 30 17:46:32 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"Get a paginated list of reports with optional filtering","37","Get Reports Stats - No Auth","QA|Nova Bank - Infopool","Fri May 30 17:46:49 GMT 2025","passed","Fri May 30 17:46:49 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","36","Fetch Customers Accounts","QA|Nova Bank - Infopool","Fri May 30 17:46:38 GMT 2025","failed","Fri May 30 17:46:38 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","37","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Fri May 30 17:46:35 GMT 2025","failed","Fri May 30 17:46:35 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","212","Change password - successful","QA|Nova Bank - Infopool","Fri May 30 17:46:31 GMT 2025","passed","Fri May 30 17:46:31 GMT 2025","v1 > Profile > Password","Bank User","",""
"Get a paginated list of reports with optional filtering","38","Get Report Objects - Question","QA|Nova Bank - Infopool","Fri May 30 17:46:49 GMT 2025","failed","Fri May 30 17:46:49 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","38","Update user - empty action field","QA|Nova Bank - Infopool","Fri May 30 17:46:39 GMT 2025","failed","Fri May 30 17:46:39 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","36","No Auth - Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Fri May 30 17:46:36 GMT 2025","passed","Fri May 30 17:46:36 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","44","Update role status","QA|Nova Bank - Infopool","Fri May 30 17:46:48 GMT 2025","passed","Fri May 30 17:46:48 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
