"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","162","Invalid credentials","QA|Nova Bank - Infopool","Sun Jun 22 20:11:01 GMT 2025","passed","Sun Jun 22 20:11:01 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","226","Change password - successful","QA|Nova Bank - Infopool","Sun Jun 22 20:11:03 GMT 2025","passed","Sun Jun 22 20:11:03 GMT 2025","v1 > Profile > Password","Bank User","",""
"","358","Get profile - successfully","QA|Nova Bank - Infopool","Sun Jun 22 20:11:03 GMT 2025","passed","Sun Jun 22 20:11:04 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","54","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 22 20:11:02 GMT 2025","passed","Sun Jun 22 20:11:02 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","47","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 22 20:11:06 GMT 2025","passed","Sun Jun 22 20:11:06 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","46","No_auth_add_comments","QA|Nova Bank - Infopool","Sun Jun 22 20:11:15 GMT 2025","passed","Sun Jun 22 20:11:15 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","59","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Sun Jun 22 20:11:21 GMT 2025","passed","Sun Jun 22 20:11:21 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","66","Fetch all organizations","QA|Nova Bank - Infopool","Sun Jun 22 20:11:29 GMT 2025","passed","Sun Jun 22 20:11:29 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","69","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Sun Jun 22 20:11:30 GMT 2025","failed","Sun Jun 22 20:11:30 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","173","Delete Customer Comment","QA|Nova Bank - Infopool","Sun Jun 22 20:11:15 GMT 2025","passed","Sun Jun 22 20:11:15 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","59","managers","QA|Nova Bank - Infopool","Sun Jun 22 20:11:30 GMT 2025","passed","Sun Jun 22 20:11:31 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","62","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Sun Jun 22 20:11:29 GMT 2025","passed","Sun Jun 22 20:11:29 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","184","Get events - successful","QA|Nova Bank - Infopool","Sun Jun 22 20:11:04 GMT 2025","passed","Sun Jun 22 20:11:05 GMT 2025","v1 > Audit trail > Event","Bank User","",""
