"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","64","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Wed Jan 07 18:55:45 UTC 2026","broken","Wed Jan 07 18:55:45 UTC 2026","v1 > Organizations > Update organization","Bank Admin","",""
"","63","No Auth - Get all permissions","QA|Nova Bank - Infopool","Wed Jan 07 18:55:47 UTC 2026","broken","Wed Jan 07 18:55:47 UTC 2026","v1 > Permissions > Get permissions","Bank Admin","",""
"","63","Create organization - name already exists","QA|Nova Bank - Infopool","Wed Jan 07 18:55:44 UTC 2026","broken","Wed Jan 07 18:55:44 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"","63","Get role by ID - successful","QA|Nova Bank - Infopool","Wed Jan 07 18:55:47 UTC 2026","broken","Wed Jan 07 18:55:47 UTC 2026","v1 > Roles > Get role by ID","Bank Admin","",""
"","71","Update profile - No Auth","QA|Nova Bank - Infopool","Wed Jan 07 18:55:37 UTC 2026","broken","Wed Jan 07 18:55:37 UTC 2026","v1 > Profile > update profile image","Bank User","",""
"","67","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Wed Jan 07 18:55:44 UTC 2026","broken","Wed Jan 07 18:55:44 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"","65","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Wed Jan 07 18:55:42 UTC 2026","broken","Wed Jan 07 18:55:42 UTC 2026","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"Get a specific report by ID","64","Get Report by UUID - Invalid uuid","QA|Nova Bank - Infopool","Wed Jan 07 18:55:48 UTC 2026","broken","Wed Jan 07 18:55:49 UTC 2026","v1 > Report > Get Report by UUID","Bank Admin","",""
"","63","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Wed Jan 07 18:55:41 UTC 2026","broken","Wed Jan 07 18:55:41 UTC 2026","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","73","Logout session successfully","QA|Nova Bank - Infopool","Wed Jan 07 18:55:47 UTC 2026","broken","Wed Jan 07 18:55:47 UTC 2026","v1 > Logout","Bank Admin","",""
"","64","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Wed Jan 07 18:55:41 UTC 2026","broken","Wed Jan 07 18:55:41 UTC 2026","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","88","Get profile - user not logged in","QA|Nova Bank - Infopool","Wed Jan 07 18:55:36 UTC 2026","broken","Wed Jan 07 18:55:36 UTC 2026","v1 > Profile > Get profile","Bank User","",""
"","63","managers","QA|Nova Bank - Infopool","Wed Jan 07 18:55:46 UTC 2026","broken","Wed Jan 07 18:55:46 UTC 2026","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"Delete a report (soft delete)","63","Delete Report - Invalid id","QA|Nova Bank - Infopool","Wed Jan 07 18:55:49 UTC 2026","broken","Wed Jan 07 18:55:49 UTC 2026","v1 > Report > Delete Report","Bank Admin","",""
"","64","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Wed Jan 07 18:55:36 UTC 2026","broken","Wed Jan 07 18:55:36 UTC 2026","v1 > Profile > Roles","Bank User","",""
"","67","Empty fields - Update definition","QA|Nova Bank - Infopool","Wed Jan 07 18:55:42 UTC 2026","broken","Wed Jan 07 18:55:42 UTC 2026","v1 > Static Definitions > Update definition","Bank Admin","",""
"Get a specific report by ID","83","Get Report by ID","QA|Nova Bank - Infopool","Wed Jan 07 18:55:48 UTC 2026","broken","Wed Jan 07 18:55:48 UTC 2026","v1 > Report > Get Report by Id","Bank Admin","",""
"Get a specific report by ID","69","Get Report by ID - Invalid id","QA|Nova Bank - Infopool","Wed Jan 07 18:55:48 UTC 2026","broken","Wed Jan 07 18:55:48 UTC 2026","v1 > Report > Get Report by Id","Bank Admin","",""
"","64","Create organization - no name","QA|Nova Bank - Infopool","Wed Jan 07 18:55:43 UTC 2026","broken","Wed Jan 07 18:55:44 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"","64","get all category","QA|Nova Bank - Infopool","Wed Jan 07 18:55:47 UTC 2026","broken","Wed Jan 07 18:55:47 UTC 2026","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","77","Update organization details by ID - successful","QA|Nova Bank - Infopool","Wed Jan 07 18:55:45 UTC 2026","broken","Wed Jan 07 18:55:45 UTC 2026","v1 > Organizations > Update organization","Bank Admin","",""
"","69","Export Report Data","QA|Nova Bank - Infopool","Wed Jan 07 18:55:49 UTC 2026","broken","Wed Jan 07 18:55:49 UTC 2026","v1 > Report > Export Report Data","Bank Admin","",""
"Get a paginated list of reports with optional filtering","64","Get Reports - No auth","QA|Nova Bank - Infopool","Wed Jan 07 18:55:48 UTC 2026","broken","Wed Jan 07 18:55:48 UTC 2026","v1 > Report > Get Report","Bank Admin","",""
"","64","Get all Issues","QA|Nova Bank - Infopool","Wed Jan 07 18:55:39 UTC 2026","broken","Wed Jan 07 18:55:39 UTC 2026","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","62","Invalid attachment id - Delete Attachment from Issue","QA|Nova Bank - Infopool","Wed Jan 07 18:55:39 UTC 2026","broken","Wed Jan 07 18:55:39 UTC 2026","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","71","Update profile - Invalid file size","QA|Nova Bank - Infopool","Wed Jan 07 18:55:37 UTC 2026","broken","Wed Jan 07 18:55:37 UTC 2026","v1 > Profile > update profile image","Bank User","",""
"","65","Remove user from an organization - successful","QA|Nova Bank - Infopool","Wed Jan 07 18:55:46 UTC 2026","broken","Wed Jan 07 18:55:46 UTC 2026","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"Create a new report","63","Create Report - Empty category","QA|Nova Bank - Infopool","Wed Jan 07 18:55:49 UTC 2026","broken","Wed Jan 07 18:55:49 UTC 2026","v1 > Report > Create Report","Bank Admin","",""
"","63","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Wed Jan 07 18:55:46 UTC 2026","broken","Wed Jan 07 18:55:46 UTC 2026","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","66","Weak password - Change password","QA|Nova Bank - Infopool","Wed Jan 07 18:55:36 UTC 2026","broken","Wed Jan 07 18:55:36 UTC 2026","v1 > Profile > Password","Bank User","",""
"","71","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Wed Jan 07 18:55:38 UTC 2026","broken","Wed Jan 07 18:55:38 UTC 2026","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","65","Get single definition","QA|Nova Bank - Infopool","Wed Jan 07 18:55:42 UTC 2026","broken","Wed Jan 07 18:55:42 UTC 2026","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","62","Fetch Customer Comments","QA|Nova Bank - Infopool","Wed Jan 07 18:55:40 UTC 2026","broken","Wed Jan 07 18:55:40 UTC 2026","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","62","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Wed Jan 07 18:55:41 UTC 2026","broken","Wed Jan 07 18:55:42 UTC 2026","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","64","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Wed Jan 07 18:55:39 UTC 2026","broken","Wed Jan 07 18:55:39 UTC 2026","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
