"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","34","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Fri Jul 11 18:58:40 GMT 2025","passed","Fri Jul 11 18:58:40 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","161","Get Issue by ID","QA|Nova Bank - Infopool","Fri Jul 11 18:58:44 GMT 2025","passed","Fri Jul 11 18:58:44 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","46","Get single definition","QA|Nova Bank - Infopool","Fri Jul 11 18:58:56 GMT 2025","passed","Fri Jul 11 18:58:57 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","32","audit trail - No Auth","QA|Nova Bank - Infopool","Fri Jul 11 18:58:42 GMT 2025","passed","Fri Jul 11 18:58:42 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","46","get user role","QA|Nova Bank - Infopool","Fri Jul 11 18:58:57 GMT 2025","passed","Fri Jul 11 18:58:57 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","68","Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Jul 11 18:58:40 GMT 2025","passed","Fri Jul 11 18:58:40 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","44","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Fri Jul 11 18:58:46 GMT 2025","passed","Fri Jul 11 18:58:46 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","32","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Fri Jul 11 18:58:45 GMT 2025","passed","Fri Jul 11 18:58:45 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","31","No auth - Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Fri Jul 11 18:58:59 GMT 2025","passed","Fri Jul 11 18:58:59 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","31","No Auth - Fetch all organizations","QA|Nova Bank - Infopool","Fri Jul 11 18:58:58 GMT 2025","passed","Fri Jul 11 18:58:58 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","51","Fetch all organizations","QA|Nova Bank - Infopool","Fri Jul 11 18:58:58 GMT 2025","passed","Fri Jul 11 18:58:58 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","70","Add user to an organization - successful","QA|Nova Bank - Infopool","Fri Jul 11 18:58:59 GMT 2025","passed","Fri Jul 11 18:58:59 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","85","resend_invitation_toUser","QA|Nova Bank - Infopool","Fri Jul 11 18:58:43 GMT 2025","passed","Fri Jul 11 18:58:43 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","38","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Jul 11 18:58:40 GMT 2025","passed","Fri Jul 11 18:58:40 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","42","Create organization - empty street value","QA|Nova Bank - Infopool","Fri Jul 11 18:58:58 GMT 2025","failed","Fri Jul 11 18:58:58 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","42","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Fri Jul 11 18:58:44 GMT 2025","passed","Fri Jul 11 18:58:44 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","48","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Fri Jul 11 18:59:03 GMT 2025","passed","Fri Jul 11 18:59:03 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","46","Fetch Customers Accounts","QA|Nova Bank - Infopool","Fri Jul 11 18:58:56 GMT 2025","failed","Fri Jul 11 18:58:56 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","37","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Jul 11 18:58:40 GMT 2025","passed","Fri Jul 11 18:58:40 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","46","Fetch organizations by ID - non-existing ID","QA|Nova Bank - Infopool","Fri Jul 11 18:58:59 GMT 2025","passed","Fri Jul 11 18:58:59 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","125","Delete Attachment from Issue","QA|Nova Bank - Infopool","Fri Jul 11 18:58:45 GMT 2025","passed","Fri Jul 11 18:58:45 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","65","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Fri Jul 11 18:58:45 GMT 2025","failed","Fri Jul 11 18:58:45 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","32","No Auth - Get all Issues","QA|Nova Bank - Infopool","Fri Jul 11 18:58:44 GMT 2025","passed","Fri Jul 11 18:58:44 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","33","Get profile - No Auth","QA|Nova Bank - Infopool","Fri Jul 11 18:58:41 GMT 2025","passed","Fri Jul 11 18:58:41 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","164","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Fri Jul 11 18:58:58 GMT 2025","passed","Fri Jul 11 18:58:58 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","32","No Auth - Get all definitions","QA|Nova Bank - Infopool","Fri Jul 11 18:58:56 GMT 2025","passed","Fri Jul 11 18:58:56 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","106","Create_issue_without_attachment","QA|Nova Bank - Infopool","Fri Jul 11 18:58:44 GMT 2025","passed","Fri Jul 11 18:58:44 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","77","Fetch Customer By ID - invalid id","QA|Nova Bank - Infopool","Fri Jul 11 18:58:52 GMT 2025","failed","Fri Jul 11 18:58:52 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","38","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Fri Jul 11 18:58:43 GMT 2025","passed","Fri Jul 11 18:58:43 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","43","Empty fields - Update definition","QA|Nova Bank - Infopool","Fri Jul 11 18:58:57 GMT 2025","passed","Fri Jul 11 18:58:57 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","33","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Fri Jul 11 18:58:44 GMT 2025","passed","Fri Jul 11 18:58:44 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","32","No auth - update role","QA|Nova Bank - Infopool","Fri Jul 11 18:58:58 GMT 2025","passed","Fri Jul 11 18:58:58 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","43","Update user - ID does not exist","QA|Nova Bank - Infopool","Fri Jul 11 18:58:57 GMT 2025","passed","Fri Jul 11 18:58:57 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","32","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Fri Jul 11 18:58:45 GMT 2025","passed","Fri Jul 11 18:58:45 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","143","Add Comment to Issue","QA|Nova Bank - Infopool","Fri Jul 11 18:58:44 GMT 2025","passed","Fri Jul 11 18:58:45 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","77","Delete Customer Comment","QA|Nova Bank - Infopool","Fri Jul 11 18:58:45 GMT 2025","passed","Fri Jul 11 18:58:46 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","41","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Jul 11 18:58:40 GMT 2025","passed","Fri Jul 11 18:58:40 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","52","Get roles - successful","QA|Nova Bank - Infopool","Fri Jul 11 18:59:06 GMT 2025","passed","Fri Jul 11 18:59:06 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","44","Update profile - no phone number","QA|Nova Bank - Infopool","Fri Jul 11 18:58:42 GMT 2025","passed","Fri Jul 11 18:58:42 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","83","Update Customer Comment","QA|Nova Bank - Infopool","Fri Jul 11 18:58:45 GMT 2025","passed","Fri Jul 11 18:58:45 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","31","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Fri Jul 11 18:58:57 GMT 2025","passed","Fri Jul 11 18:58:57 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","498","Successful login","QA|Nova Bank - Infopool","Fri Jul 11 18:58:32 GMT 2025","passed","Fri Jul 11 18:58:32 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","34","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Fri Jul 11 18:58:59 GMT 2025","passed","Fri Jul 11 18:58:59 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","425","Change password - successful","QA|Nova Bank - Infopool","Fri Jul 11 18:58:40 GMT 2025","passed","Fri Jul 11 18:58:41 GMT 2025","v1 > Profile > Password","Bank User","",""
"","70","Get roles - successful","QA|Nova Bank - Infopool","Fri Jul 11 18:59:06 GMT 2025","passed","Fri Jul 11 18:59:06 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","118","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Fri Jul 11 18:58:42 GMT 2025","passed","Fri Jul 11 18:58:42 GMT 2025","v1 > Audit trail > Event","Bank User","",""
