"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","35","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 21:17:10 GMT 2025","passed","Sun Jun 08 21:17:10 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","2663","Fetch Customers Transactions","QA|Nova Bank - Infopool","Sun Jun 08 21:15:57 GMT 2025","passed","Sun Jun 08 21:16:00 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"Update an existing report","158","Update Report - Invalid id","QA|Nova Bank - Infopool","Sun Jun 08 21:17:15 GMT 2025","passed","Sun Jun 08 21:17:15 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","60","Fetch Customer Comments","QA|Nova Bank - Infopool","Sun Jun 08 21:15:55 GMT 2025","failed","Sun Jun 08 21:15:55 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","45","Get profile roles - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 21:15:40 GMT 2025","passed","Sun Jun 08 21:15:40 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","41","Get Report Data - No auth","QA|Nova Bank - Infopool","Sun Jun 08 21:17:18 GMT 2025","passed","Sun Jun 08 21:17:18 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","3135","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Sun Jun 08 21:17:07 GMT 2025","passed","Sun Jun 08 21:17:10 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","42","Fetch Customer By ID no Auth","QA|Nova Bank - Infopool","Sun Jun 08 21:15:56 GMT 2025","passed","Sun Jun 08 21:15:56 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","34","Get roles - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:17:12 GMT 2025","passed","Sun Jun 08 21:17:12 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"Get a specific report by ID","36","Get Report by ID - No auth","QA|Nova Bank - Infopool","Sun Jun 08 21:17:14 GMT 2025","passed","Sun Jun 08 21:17:14 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","263","Add Comment to Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:15:54 GMT 2025","passed","Sun Jun 08 21:15:54 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","141","Add attachment to issue","QA|Nova Bank - Infopool","Sun Jun 08 21:15:54 GMT 2025","failed","Sun Jun 08 21:15:55 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
