"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","94","category by id","QA|Nova Bank - Infopool","Fri May 30 17:00:08 GMT 2025","passed","Fri May 30 17:00:08 GMT 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"Get a paginated list of reports with optional filtering","38","Get Reports - No auth","QA|Nova Bank - Infopool","Fri May 30 17:00:08 GMT 2025","passed","Fri May 30 17:00:08 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","48","Fetch all users in an organization","QA|Nova Bank - Infopool","Fri May 30 17:00:07 GMT 2025","passed","Fri May 30 17:00:07 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","46","Create organization - no country ID","QA|Nova Bank - Infopool","Fri May 30 17:00:03 GMT 2025","passed","Fri May 30 17:00:03 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","42","Add attachment to issue","QA|Nova Bank - Infopool","Fri May 30 16:59:54 GMT 2025","failed","Fri May 30 16:59:54 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","47","Update organization details by ID - parent_id","QA|Nova Bank - Infopool","Fri May 30 17:00:07 GMT 2025","passed","Fri May 30 17:00:07 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","51","Logout session successfully","QA|Nova Bank - Infopool","Fri May 30 17:00:08 GMT 2025","passed","Fri May 30 17:00:08 GMT 2025","v1 > Logout","Bank Admin","",""
"","37","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Fri May 30 16:59:45 GMT 2025","passed","Fri May 30 16:59:45 GMT 2025","v1 > Profile > Roles","Bank User","",""
"Create a new report","39","Create Report - Empty category","QA|Nova Bank - Infopool","Fri May 30 17:00:09 GMT 2025","failed","Fri May 30 17:00:09 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","39","Fetch Customer Comments","QA|Nova Bank - Infopool","Fri May 30 16:59:55 GMT 2025","failed","Fri May 30 16:59:55 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","41","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Fri May 30 16:59:53 GMT 2025","passed","Fri May 30 16:59:53 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","39","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Fri May 30 16:59:54 GMT 2025","passed","Fri May 30 16:59:54 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","37","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Fri May 30 16:59:54 GMT 2025","failed","Fri May 30 16:59:54 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"Update an existing report","37","Update Report - Invalid id","QA|Nova Bank - Infopool","Fri May 30 17:00:09 GMT 2025","failed","Fri May 30 17:00:09 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","75","Fetch Customer By ID","QA|Nova Bank - Infopool","Fri May 30 16:59:55 GMT 2025","passed","Fri May 30 16:59:55 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","47","Role does not exist - update role","QA|Nova Bank - Infopool","Fri May 30 16:59:59 GMT 2025","passed","Fri May 30 16:59:59 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","44","Get all permissions","QA|Nova Bank - Infopool","Fri May 30 17:00:08 GMT 2025","passed","Fri May 30 17:00:08 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"Get a paginated list of reports with optional filtering","36","Get Reports Stats","QA|Nova Bank - Infopool","Fri May 30 17:00:08 GMT 2025","failed","Fri May 30 17:00:08 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","41","Empty current password - Change password","QA|Nova Bank - Infopool","Fri May 30 16:59:45 GMT 2025","passed","Fri May 30 16:59:45 GMT 2025","v1 > Profile > Password","Bank User","",""
"","123","Invalid current password - Change password","QA|Nova Bank - Infopool","Fri May 30 16:59:45 GMT 2025","passed","Fri May 30 16:59:45 GMT 2025","v1 > Profile > Password","Bank User","",""
"","39","Update profile - No Auth","QA|Nova Bank - Infopool","Fri May 30 16:59:52 GMT 2025","passed","Fri May 30 16:59:52 GMT 2025","v1 > Profile > update profile image","Bank User","",""
