"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","136","managers","QA|Nova Bank - Infopool","Sun Feb 22 20:14:55 UTC 2026","broken","Sun Feb 22 20:14:55 UTC 2026","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","138","Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Sun Feb 22 20:14:54 UTC 2026","broken","Sun Feb 22 20:14:54 UTC 2026","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","140","Change password - successful","QA|Nova Bank - Infopool","Sun Feb 22 20:14:34 UTC 2026","broken","Sun Feb 22 20:14:34 UTC 2026","v1 > Profile > Password","Bank User","",""
"","139","Fetch Customers Transactions","QA|Nova Bank - Infopool","Sun Feb 22 20:14:44 UTC 2026","broken","Sun Feb 22 20:14:45 UTC 2026","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","141","Get permission by ID - ID does not exist","QA|Nova Bank - Infopool","Sun Feb 22 20:14:57 UTC 2026","broken","Sun Feb 22 20:14:57 UTC 2026","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","142","Update profile - Invalid file size","QA|Nova Bank - Infopool","Sun Feb 22 20:14:36 UTC 2026","broken","Sun Feb 22 20:14:36 UTC 2026","v1 > Profile > update profile image","Bank User","",""
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","142","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Sun Feb 22 20:14:33 UTC 2026","broken","Sun Feb 22 20:14:33 UTC 2026","v1 > Auth > MFA > Verify","Bank User","",""
"","139","Update profile","QA|Nova Bank - Infopool","Sun Feb 22 20:14:36 UTC 2026","broken","Sun Feb 22 20:14:36 UTC 2026","v1 > Profile > update profile image","Bank User","",""
"","141","Get events - invalid start date","QA|Nova Bank - Infopool","Sun Feb 22 20:14:37 UTC 2026","broken","Sun Feb 22 20:14:37 UTC 2026","v1 > Audit trail > Event","Bank User","",""
"","141","Get role by ID - invalid ID","QA|Nova Bank - Infopool","Sun Feb 22 20:14:57 UTC 2026","broken","Sun Feb 22 20:14:57 UTC 2026","v1 > Roles > Get role by ID","Bank Admin","",""
"Delete a report (soft delete)","142","Delete Report - Invalid id","QA|Nova Bank - Infopool","Sun Feb 22 20:15:02 UTC 2026","broken","Sun Feb 22 20:15:02 UTC 2026","v1 > Report > Delete Report","Bank Admin","",""
"","136","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Sun Feb 22 20:14:50 UTC 2026","broken","Sun Feb 22 20:14:50 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"","140","duplicate corporate Adjustment","QA|Nova Bank - Infopool","Sun Feb 22 20:15:03 UTC 2026","broken","Sun Feb 22 20:15:03 UTC 2026","","corporate Adjustment","",""
"","142","Fetch Customers Accounts","QA|Nova Bank - Infopool","Sun Feb 22 20:14:45 UTC 2026","broken","Sun Feb 22 20:14:45 UTC 2026","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","140","Update organization details by ID - incorrect business manager ID","QA|Nova Bank - Infopool","Sun Feb 22 20:14:53 UTC 2026","broken","Sun Feb 22 20:14:53 UTC 2026","v1 > Organizations > Update organization","Bank Admin","",""
