"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","61","Update profile","QA|Nova Bank - Infopool","Fri Mar 14 18:51:58 GMT 2025","failed","Fri Mar 14 18:51:58 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","37","Create organization - empty city value","QA|Nova Bank - Infopool","Fri Mar 14 18:53:14 GMT 2025","failed","Fri Mar 14 18:53:14 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","36","Get permission by ID - successful","QA|Nova Bank - Infopool","Fri Mar 14 18:53:15 GMT 2025","failed","Fri Mar 14 18:53:15 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","33","Update permissions - successful","QA|Nova Bank - Infopool","Fri Mar 14 18:53:15 GMT 2025","passed","Fri Mar 14 18:53:15 GMT 2025","v1 > Roles > Permissions > Update permission - API needs review","Bank Admin","",""
"","33","Create Settings - missing meta values","QA|Nova Bank - Infopool","Fri Mar 14 18:53:13 GMT 2025","passed","Fri Mar 14 18:53:13 GMT 2025","v1 > System Settings > Create Settings","Bank Admin","",""
"","91","Forgot password - successful","QA|Nova Bank - Infopool","Fri Mar 14 18:51:56 GMT 2025","passed","Fri Mar 14 18:51:56 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","33","managers","QA|Nova Bank - Infopool","Fri Mar 14 18:53:15 GMT 2025","passed","Fri Mar 14 18:53:15 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","35","Create organization - empty street value","QA|Nova Bank - Infopool","Fri Mar 14 18:53:14 GMT 2025","failed","Fri Mar 14 18:53:14 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","38","Create organization - empty mis code","QA|Nova Bank - Infopool","Fri Mar 14 18:53:14 GMT 2025","failed","Fri Mar 14 18:53:14 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","38","Update organization details by ID - incorrect business manager ID","QA|Nova Bank - Infopool","Fri Mar 14 18:53:14 GMT 2025","failed","Fri Mar 14 18:53:14 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","2787","Fetch Customers Transactions","QA|Nova Bank - Infopool","Fri Mar 14 18:52:01 GMT 2025","passed","Fri Mar 14 18:52:04 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","33","Create roles - successful","QA|Nova Bank - Infopool","Fri Mar 14 18:53:15 GMT 2025","passed","Fri Mar 14 18:53:15 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","32","value","QA|Nova Bank - Infopool","Fri Mar 14 18:53:13 GMT 2025","passed","Fri Mar 14 18:53:13 GMT 2025","v1 > System Settings > Setting value > Fetch Settings value","Bank Admin","",""
"","113","Get profile - successfully","QA|Nova Bank - Infopool","Fri Mar 14 18:51:57 GMT 2025","passed","Fri Mar 14 18:51:57 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","40","Send user invitation token - invalid authentication","QA|Nova Bank - Infopool","Fri Mar 14 18:51:58 GMT 2025","passed","Fri Mar 14 18:51:58 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","33","Get notification template by ID","QA|Nova Bank - Infopool","Fri Mar 14 18:53:15 GMT 2025","passed","Fri Mar 14 18:53:15 GMT 2025","v1 > Notifications > Template","Bank Admin","",""
"","53","Fetch Customer By ID - invalid id","QA|Nova Bank - Infopool","Fri Mar 14 18:52:00 GMT 2025","passed","Fri Mar 14 18:52:00 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","51","Get profile roles - successful","QA|Nova Bank - Infopool","Fri Mar 14 18:51:57 GMT 2025","passed","Fri Mar 14 18:51:57 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","33","Create definition - duplicate entry","QA|Nova Bank - Infopool","Fri Mar 14 18:53:11 GMT 2025","passed","Fri Mar 14 18:53:11 GMT 2025","v1 > Static Definitions > Create definition","Bank Admin","",""
"","34","Health","QA|Nova Bank - Infopool","Fri Mar 14 18:53:16 GMT 2025","passed","Fri Mar 14 18:53:16 GMT 2025","v1","Bank Admin","",""
"","32","Update Setting - successful","QA|Nova Bank - Infopool","Fri Mar 14 18:53:13 GMT 2025","passed","Fri Mar 14 18:53:13 GMT 2025","v1 > System Settings > Update Settings","Bank Admin","",""
"","33","Create master setting - empty custom validation","QA|Nova Bank - Infopool","Fri Mar 14 18:53:12 GMT 2025","passed","Fri Mar 14 18:53:12 GMT 2025","v1 > System Settings > Master > Create Master Setting","Bank Admin","",""
"","37","Fetch organizations by ID - non-existing ID","QA|Nova Bank - Infopool","Fri Mar 14 18:53:14 GMT 2025","failed","Fri Mar 14 18:53:14 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","38","Create organization - business manager ID does not exist","QA|Nova Bank - Infopool","Fri Mar 14 18:53:14 GMT 2025","failed","Fri Mar 14 18:53:14 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","35","Get permission by ID - ID does not exist","QA|Nova Bank - Infopool","Fri Mar 14 18:53:15 GMT 2025","failed","Fri Mar 14 18:53:15 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","33","update role","QA|Nova Bank - Infopool","Fri Mar 14 18:53:13 GMT 2025","passed","Fri Mar 14 18:53:13 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","33","update notification template","QA|Nova Bank - Infopool","Fri Mar 14 18:53:15 GMT 2025","passed","Fri Mar 14 18:53:15 GMT 2025","v1 > Notifications > Templates","Bank Admin","",""
"","46","Create a New Issue - empty issue","QA|Nova Bank - Infopool","Fri Mar 14 18:51:59 GMT 2025","passed","Fri Mar 14 18:51:59 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","32","Get all notification templates - invalid category","QA|Nova Bank - Infopool","Fri Mar 14 18:53:15 GMT 2025","passed","Fri Mar 14 18:53:15 GMT 2025","v1 > Notifications > Templates","Bank Admin","",""
"","44","Send user invitation token - successful","QA|Nova Bank - Infopool","Fri Mar 14 18:51:58 GMT 2025","passed","Fri Mar 14 18:51:58 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","33","Create definition - invalid parentID","QA|Nova Bank - Infopool","Fri Mar 14 18:53:11 GMT 2025","passed","Fri Mar 14 18:53:11 GMT 2025","v1 > Static Definitions > Create definition","Bank Admin","",""
"","36","Health","QA|Nova Bank - Infopool","Fri Mar 14 18:53:11 GMT 2025","failed","Fri Mar 14 18:53:11 GMT 2025","v1 > Health","Bank Admin","",""
"","37","Remove user from an organization - successful","QA|Nova Bank - Infopool","Fri Mar 14 18:53:14 GMT 2025","failed","Fri Mar 14 18:53:14 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","41","Delete Attachment from Issue invalid attachment id","QA|Nova Bank - Infopool","Fri Mar 14 18:52:00 GMT 2025","failed","Fri Mar 14 18:52:00 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","35","upload","QA|Nova Bank - Infopool","Fri Mar 14 18:53:11 GMT 2025","passed","Fri Mar 14 18:53:11 GMT 2025","v1 > Static Definitions > Upload > Upload definition","Bank Admin","",""
"","41","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Fri Mar 14 18:53:14 GMT 2025","failed","Fri Mar 14 18:53:14 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","38","Create organization - no country ID","QA|Nova Bank - Infopool","Fri Mar 14 18:53:14 GMT 2025","failed","Fri Mar 14 18:53:14 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","38","Create  organization","QA|Nova Bank - Infopool","Fri Mar 14 18:53:13 GMT 2025","failed","Fri Mar 14 18:53:13 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","41","Update organization details by ID - parent_id","QA|Nova Bank - Infopool","Fri Mar 14 18:53:14 GMT 2025","failed","Fri Mar 14 18:53:14 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","33","Create roles - no type","QA|Nova Bank - Infopool","Fri Mar 14 18:53:15 GMT 2025","passed","Fri Mar 14 18:53:15 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","35","Retrieve Settings","QA|Nova Bank - Infopool","Fri Mar 14 18:53:13 GMT 2025","passed","Fri Mar 14 18:53:13 GMT 2025","v1 > System Settings > Retrieve Setting","Bank Admin","",""
"","32","Create roles - invalid type","QA|Nova Bank - Infopool","Fri Mar 14 18:53:15 GMT 2025","passed","Fri Mar 14 18:53:15 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","55","Fetch Customer Comments","QA|Nova Bank - Infopool","Fri Mar 14 18:52:00 GMT 2025","passed","Fri Mar 14 18:52:00 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","128","Get events - successful","QA|Nova Bank - Infopool","Fri Mar 14 18:51:58 GMT 2025","passed","Fri Mar 14 18:51:58 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","33","Update Setting - empty action","QA|Nova Bank - Infopool","Fri Mar 14 18:53:13 GMT 2025","passed","Fri Mar 14 18:53:13 GMT 2025","v1 > System Settings > Update Settings","Bank Admin","",""
"","75","Update profile - successful","QA|Nova Bank - Infopool","Fri Mar 14 18:51:57 GMT 2025","passed","Fri Mar 14 18:51:57 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","33","Create Settings - missing entity type","QA|Nova Bank - Infopool","Fri Mar 14 18:53:12 GMT 2025","passed","Fri Mar 14 18:53:12 GMT 2025","v1 > System Settings > Create Settings","Bank Admin","",""
"","32","upload","QA|Nova Bank - Infopool","Fri Mar 14 18:53:11 GMT 2025","passed","Fri Mar 14 18:53:11 GMT 2025","v1 > Static Definitions > Upload > Get upload","Bank Admin","",""
"","37","Update user - successful","QA|Nova Bank - Infopool","Fri Mar 14 18:53:13 GMT 2025","failed","Fri Mar 14 18:53:13 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","32","Create master setting - invalid minimum value","QA|Nova Bank - Infopool","Fri Mar 14 18:53:12 GMT 2025","passed","Fri Mar 14 18:53:12 GMT 2025","v1 > System Settings > Master > Create Master Setting","Bank Admin","",""
"","32","Update Setting - empty description","QA|Nova Bank - Infopool","Fri Mar 14 18:53:13 GMT 2025","passed","Fri Mar 14 18:53:13 GMT 2025","v1 > System Settings > Update Settings","Bank Admin","",""
"","47","Create a New Issue - empty issue category","QA|Nova Bank - Infopool","Fri Mar 14 18:51:59 GMT 2025","passed","Fri Mar 14 18:51:59 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","47","Invalid email format","QA|Nova Bank - Infopool","Fri Mar 14 18:51:56 GMT 2025","passed","Fri Mar 14 18:51:56 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","32","Create master setting - no value type","QA|Nova Bank - Infopool","Fri Mar 14 18:53:12 GMT 2025","passed","Fri Mar 14 18:53:12 GMT 2025","v1 > System Settings > Master > Create Master Setting","Bank Admin","",""
"","33","Update definition - invalid action","QA|Nova Bank - Infopool","Fri Mar 14 18:53:11 GMT 2025","passed","Fri Mar 14 18:53:11 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","95","Get events - invalid end date","QA|Nova Bank - Infopool","Fri Mar 14 18:51:58 GMT 2025","passed","Fri Mar 14 18:51:58 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","34","Update master setting - ID does not exist","QA|Nova Bank - Infopool","Fri Mar 14 18:53:12 GMT 2025","passed","Fri Mar 14 18:53:12 GMT 2025","v1 > System Settings > Master > Update master settings","Bank Admin","",""
"","40","Search Customers - No Auth","QA|Nova Bank - Infopool","Fri Mar 14 18:52:00 GMT 2025","passed","Fri Mar 14 18:52:00 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","32","Retrieve setting by entity ID","QA|Nova Bank - Infopool","Fri Mar 14 18:53:12 GMT 2025","passed","Fri Mar 14 18:53:12 GMT 2025","v1 > System Settings > Entity","Bank Admin","",""
"","125","Invalid credentials","QA|Nova Bank - Infopool","Fri Mar 14 18:51:56 GMT 2025","passed","Fri Mar 14 18:51:56 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
