"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","50","Remove user from an organization - successful","QA|Nova Bank - Infopool","Wed Nov 19 18:48:35 UTC 2025","broken","Wed Nov 19 18:48:35 UTC 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","56","Update organization details by ID - successful","QA|Nova Bank - Infopool","Wed Nov 19 18:48:34 UTC 2025","broken","Wed Nov 19 18:48:34 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","55","Get Report Data - Invalid id","QA|Nova Bank - Infopool","Wed Nov 19 18:48:38 UTC 2025","broken","Wed Nov 19 18:48:38 UTC 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","56","Update user - invalid action","QA|Nova Bank - Infopool","Wed Nov 19 18:48:33 UTC 2025","broken","Wed Nov 19 18:48:33 UTC 2025","v1 > Users > Update user","Bank Admin","",""
"","53","Get role by ID - successful","QA|Nova Bank - Infopool","Wed Nov 19 18:48:36 UTC 2025","broken","Wed Nov 19 18:48:36 UTC 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","50","No auth - get user role","QA|Nova Bank - Infopool","Wed Nov 19 18:48:33 UTC 2025","broken","Wed Nov 19 18:48:33 UTC 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","54","Create roles - No auth","QA|Nova Bank - Infopool","Wed Nov 19 18:48:36 UTC 2025","broken","Wed Nov 19 18:48:36 UTC 2025","v1 > Roles > Create role","Bank Admin","",""
"","50","Fetch Customer By ID","QA|Nova Bank - Infopool","Wed Nov 19 18:48:31 UTC 2025","broken","Wed Nov 19 18:48:31 UTC 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","55","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Wed Nov 19 18:48:29 UTC 2025","broken","Wed Nov 19 18:48:29 UTC 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","57","Invalid attachment id - Delete Attachment from Issue","QA|Nova Bank - Infopool","Wed Nov 19 18:48:30 UTC 2025","broken","Wed Nov 19 18:48:30 UTC 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","52","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Wed Nov 19 18:48:27 UTC 2025","broken","Wed Nov 19 18:48:27 UTC 2025","v1 > Profile > Roles","Bank User","",""
"","50","audit trail","QA|Nova Bank - Infopool","Wed Nov 19 18:48:28 UTC 2025","broken","Wed Nov 19 18:48:28 UTC 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","56","Fetch all users","QA|Nova Bank - Infopool","Wed Nov 19 18:48:32 UTC 2025","broken","Wed Nov 19 18:48:32 UTC 2025","v1 > Users > Fetch users","Bank Admin","",""
"","54","get user role","QA|Nova Bank - Infopool","Wed Nov 19 18:48:33 UTC 2025","broken","Wed Nov 19 18:48:33 UTC 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","91","Forgot password - successful","QA|Nova Bank - Infopool","Wed Nov 19 18:48:25 UTC 2025","broken","Wed Nov 19 18:48:25 UTC 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","54","Search Customers","QA|Nova Bank - Infopool","Wed Nov 19 18:48:31 UTC 2025","broken","Wed Nov 19 18:48:31 UTC 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","55","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Wed Nov 19 18:48:35 UTC 2025","broken","Wed Nov 19 18:48:35 UTC 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","60","Update profile","QA|Nova Bank - Infopool","Wed Nov 19 18:48:28 UTC 2025","broken","Wed Nov 19 18:48:28 UTC 2025","v1 > Profile > update profile image","Bank User","",""
"","55","No Auth - Fetch all organizations","QA|Nova Bank - Infopool","Wed Nov 19 18:48:34 UTC 2025","broken","Wed Nov 19 18:48:34 UTC 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","55","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Wed Nov 19 18:48:35 UTC 2025","broken","Wed Nov 19 18:48:35 UTC 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","54","Create organization - no name","QA|Nova Bank - Infopool","Wed Nov 19 18:48:33 UTC 2025","broken","Wed Nov 19 18:48:33 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","50","Get permission by ID - successful","QA|Nova Bank - Infopool","Wed Nov 19 18:48:36 UTC 2025","broken","Wed Nov 19 18:48:36 UTC 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","54","update role","QA|Nova Bank - Infopool","Wed Nov 19 18:48:33 UTC 2025","broken","Wed Nov 19 18:48:33 UTC 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","54","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Wed Nov 19 18:48:35 UTC 2025","broken","Wed Nov 19 18:48:35 UTC 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","89","No auth - Create a New Issue","QA|Nova Bank - Infopool","Wed Nov 19 18:48:29 UTC 2025","broken","Wed Nov 19 18:48:29 UTC 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","52","Fetch Customers Transactions","QA|Nova Bank - Infopool","Wed Nov 19 18:48:31 UTC 2025","broken","Wed Nov 19 18:48:31 UTC 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","54","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Wed Nov 19 18:48:34 UTC 2025","broken","Wed Nov 19 18:48:34 UTC 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"Delete a report (soft delete)","54","Delete Report -No auth","QA|Nova Bank - Infopool","Wed Nov 19 18:48:38 UTC 2025","broken","Wed Nov 19 18:48:38 UTC 2025","v1 > Report > Delete Report","Bank Admin","",""
