"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
"","79","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Fri May 30 17:21:57 GMT 2025","failed","Fri May 30 17:21:57 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","81","Get profile - user not logged in","QA|Nova Bank - Infopool","Fri May 30 17:21:51 GMT 2025","passed","Fri May 30 17:21:51 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","79","Update organization details by ID - incorrect business manager ID","QA|Nova Bank - Infopool","Fri May 30 17:22:05 GMT 2025","failed","Fri May 30 17:22:05 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","224","Get profile - successfully","QA|Nova Bank - Infopool","Fri May 30 17:21:50 GMT 2025","passed","Fri May 30 17:21:51 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","78","No auth - managers","QA|Nova Bank - Infopool","Fri May 30 17:22:07 GMT 2025","passed","Fri May 30 17:22:07 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","79","Logout session - no session","QA|Nova Bank - Infopool","Fri May 30 17:22:09 GMT 2025","passed","Fri May 30 17:22:09 GMT 2025","v1 > Logout","Bank Admin","",""
"Create a new report","81","Create Report - No auth","QA|Nova Bank - Infopool","Fri May 30 17:22:10 GMT 2025","passed","Fri May 30 17:22:10 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","78","Get permission by ID - No auth","QA|Nova Bank - Infopool","Fri May 30 17:22:08 GMT 2025","passed","Fri May 30 17:22:08 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","81","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Fri May 30 17:22:05 GMT 2025","passed","Fri May 30 17:22:06 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","79","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Fri May 30 17:21:55 GMT 2025","passed","Fri May 30 17:21:55 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","108","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Fri May 30 17:22:02 GMT 2025","passed","Fri May 30 17:22:02 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","89","get user role","QA|Nova Bank - Infopool","Fri May 30 17:22:03 GMT 2025","passed","Fri May 30 17:22:03 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","81","Health","QA|Nova Bank - Infopool","Fri May 30 17:22:01 GMT 2025","passed","Fri May 30 17:22:01 GMT 2025","v1 > Health","Bank Admin","",""
"Get a paginated list of reports with optional filtering","80","Get Report Objects - Question","QA|Nova Bank - Infopool","Fri May 30 17:22:09 GMT 2025","failed","Fri May 30 17:22:09 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","104","Search Customers","QA|Nova Bank - Infopool","Fri May 30 17:21:57 GMT 2025","passed","Fri May 30 17:21:57 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","77","Fetch Customers Channels","QA|Nova Bank - Infopool","Fri May 30 17:22:01 GMT 2025","failed","Fri May 30 17:22:01 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","89","Update profile","QA|Nova Bank - Infopool","Fri May 30 17:21:51 GMT 2025","failed","Fri May 30 17:21:51 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","80","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Fri May 30 17:21:49 GMT 2025","passed","Fri May 30 17:21:49 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","106","Update definition","QA|Nova Bank - Infopool","Fri May 30 17:22:01 GMT 2025","passed","Fri May 30 17:22:01 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","79","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Fri May 30 17:21:55 GMT 2025","passed","Fri May 30 17:21:55 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","87","Get permission by ID - successful","QA|Nova Bank - Infopool","Fri May 30 17:22:08 GMT 2025","passed","Fri May 30 17:22:08 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","78","Get role by ID - successful","QA|Nova Bank - Infopool","Fri May 30 17:22:07 GMT 2025","failed","Fri May 30 17:22:08 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"Get a specific report by ID","80","Get Report by UUID - No auth","QA|Nova Bank - Infopool","Fri May 30 17:22:10 GMT 2025","passed","Fri May 30 17:22:10 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","117","Update organization details by ID - successful","QA|Nova Bank - Infopool","Fri May 30 17:22:05 GMT 2025","passed","Fri May 30 17:22:05 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","167","Weak password - Change password","QA|Nova Bank - Infopool","Fri May 30 17:21:50 GMT 2025","passed","Fri May 30 17:21:50 GMT 2025","v1 > Profile > Password","Bank User","",""
"","81","Invalid attachment id - Delete Attachment from Issue","QA|Nova Bank - Infopool","Fri May 30 17:21:56 GMT 2025","failed","Fri May 30 17:21:56 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","152","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Fri May 30 17:22:00 GMT 2025","passed","Fri May 30 17:22:00 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","168","Get events - invalid end date","QA|Nova Bank - Infopool","Fri May 30 17:21:52 GMT 2025","passed","Fri May 30 17:21:52 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","82","Update profile - No Auth","QA|Nova Bank - Infopool","Fri May 30 17:21:51 GMT 2025","passed","Fri May 30 17:21:51 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","80","Get Report Data - Dashboard","QA|Nova Bank - Infopool","Fri May 30 17:22:11 GMT 2025","failed","Fri May 30 17:22:11 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","79","No auth - Update role status","QA|Nova Bank - Infopool","Fri May 30 17:22:07 GMT 2025","passed","Fri May 30 17:22:07 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"Get a paginated list of reports with optional filtering","83","Get Reports","QA|Nova Bank - Infopool","Fri May 30 17:22:09 GMT 2025","failed","Fri May 30 17:22:09 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","88","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Fri May 30 17:22:06 GMT 2025","passed","Fri May 30 17:22:07 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","81","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Fri May 30 17:21:55 GMT 2025","failed","Fri May 30 17:21:55 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","89","Create organization - name already exists","QA|Nova Bank - Infopool","Fri May 30 17:22:03 GMT 2025","passed","Fri May 30 17:22:04 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","90","Role does not exist - update role","QA|Nova Bank - Infopool","Fri May 30 17:22:03 GMT 2025","passed","Fri May 30 17:22:03 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","93","get all category","QA|Nova Bank - Infopool","Fri May 30 17:22:08 GMT 2025","passed","Fri May 30 17:22:08 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","114","Update user - successful","QA|Nova Bank - Infopool","Fri May 30 17:22:02 GMT 2025","passed","Fri May 30 17:22:02 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","85","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Fri May 30 17:21:54 GMT 2025","passed","Fri May 30 17:21:55 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","81","Update user - invalid action","QA|Nova Bank - Infopool","Fri May 30 17:22:02 GMT 2025","failed","Fri May 30 17:22:03 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","88","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Fri May 30 17:22:05 GMT 2025","passed","Fri May 30 17:22:05 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
