"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","116","Fetch Customer By ID - invalid id","QA|Nova Bank - Infopool","Sun Jun 08 21:04:07 GMT 2025","failed","Sun Jun 08 21:04:07 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","76","No auth - get user role","QA|Nova Bank - Infopool","Sun Jun 08 21:05:19 GMT 2025","passed","Sun Jun 08 21:05:19 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"Update an existing report","145","Update Report - No auth","QA|Nova Bank - Infopool","Sun Jun 08 21:05:35 GMT 2025","passed","Sun Jun 08 21:05:35 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","76","Get permission by ID - ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 21:05:24 GMT 2025","passed","Sun Jun 08 21:05:24 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","834","Change password - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:03:39 GMT 2025","passed","Sun Jun 08 21:03:40 GMT 2025","v1 > Profile > Password","Bank User","",""
"","542","Get Report Data - Question","QA|Nova Bank - Infopool","Sun Jun 08 21:05:36 GMT 2025","failed","Sun Jun 08 21:05:37 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","2440","Get Report Data - Dashboard","QA|Nova Bank - Infopool","Sun Jun 08 21:05:37 GMT 2025","passed","Sun Jun 08 21:05:39 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","643","Invalid current password - Change password","QA|Nova Bank - Infopool","Sun Jun 08 21:03:40 GMT 2025","passed","Sun Jun 08 21:03:40 GMT 2025","v1 > Profile > Password","Bank User","",""
"","362","Create_issue_without_attachment","QA|Nova Bank - Infopool","Sun Jun 08 21:03:55 GMT 2025","failed","Sun Jun 08 21:03:55 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"Get a specific report by ID","130","Get Report by ID","QA|Nova Bank - Infopool","Sun Jun 08 21:05:33 GMT 2025","failed","Sun Jun 08 21:05:33 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","142","No auth - Add Comment to Customer","QA|Nova Bank - Infopool","Sun Jun 08 21:04:04 GMT 2025","passed","Sun Jun 08 21:04:04 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","76","No Auth - Fetch all users","QA|Nova Bank - Infopool","Sun Jun 08 21:05:19 GMT 2025","passed","Sun Jun 08 21:05:19 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","137","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Sun Jun 08 21:04:03 GMT 2025","failed","Sun Jun 08 21:04:03 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","79","Empty fields - Update definition","QA|Nova Bank - Infopool","Sun Jun 08 21:05:18 GMT 2025","passed","Sun Jun 08 21:05:18 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","78","Fetch all organizations","QA|Nova Bank - Infopool","Sun Jun 08 21:05:21 GMT 2025","passed","Sun Jun 08 21:05:21 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","76","Fetch all users in an organization","QA|Nova Bank - Infopool","Sun Jun 08 21:05:22 GMT 2025","passed","Sun Jun 08 21:05:22 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","78","Create organization - no country ID","QA|Nova Bank - Infopool","Sun Jun 08 21:05:20 GMT 2025","passed","Sun Jun 08 21:05:20 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","82","Get all permissions","QA|Nova Bank - Infopool","Sun Jun 08 21:05:24 GMT 2025","passed","Sun Jun 08 21:05:24 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","3152","Export Report Data - No auth","QA|Nova Bank - Infopool","Sun Jun 08 21:05:40 GMT 2025","passed","Sun Jun 08 21:05:43 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","460","Export Report Data","QA|Nova Bank - Infopool","Sun Jun 08 21:05:39 GMT 2025","failed","Sun Jun 08 21:05:40 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","76","No auth - get all category","QA|Nova Bank - Infopool","Sun Jun 08 21:05:24 GMT 2025","passed","Sun Jun 08 21:05:24 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","95","No auth - category by id","QA|Nova Bank - Infopool","Sun Jun 08 21:05:25 GMT 2025","passed","Sun Jun 08 21:05:25 GMT 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","78","update role","QA|Nova Bank - Infopool","Sun Jun 08 21:05:19 GMT 2025","passed","Sun Jun 08 21:05:20 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","77","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:05:22 GMT 2025","passed","Sun Jun 08 21:05:22 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","77","Add user to an organization - no auth","QA|Nova Bank - Infopool","Sun Jun 08 21:05:22 GMT 2025","passed","Sun Jun 08 21:05:23 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","143","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 21:04:06 GMT 2025","failed","Sun Jun 08 21:04:06 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"Get a specific report by ID","152","Get Report by UUID","QA|Nova Bank - Infopool","Sun Jun 08 21:05:34 GMT 2025","failed","Sun Jun 08 21:05:34 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
