"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
"","45","Export Report Data","QA|Nova Bank - Infopool","Fri May 30 20:06:30 GMT 2025","failed","Fri May 30 20:06:30 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","86","verifyOTP","QA|Nova Bank - Infopool","Fri May 30 20:06:09 GMT 2025","passed","Fri May 30 20:06:09 GMT 2025","v1 > Auth > Session > verify OTP","Bank User","",""
"","42","No Auth - Search Customers","QA|Nova Bank - Infopool","Fri May 30 20:06:15 GMT 2025","passed","Fri May 30 20:06:15 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","43","No Auth - Fetch all organizations","QA|Nova Bank - Infopool","Fri May 30 20:06:26 GMT 2025","passed","Fri May 30 20:06:26 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","76","Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri May 30 20:06:09 GMT 2025","passed","Fri May 30 20:06:09 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","126","Add Comment to Issue","QA|Nova Bank - Infopool","Fri May 30 20:06:14 GMT 2025","passed","Fri May 30 20:06:14 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","54","Role does not exist - update role","QA|Nova Bank - Infopool","Fri May 30 20:06:25 GMT 2025","passed","Fri May 30 20:06:26 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","43","Update Customer Comment Copy","QA|Nova Bank - Infopool","Fri May 30 20:06:14 GMT 2025","passed","Fri May 30 20:06:14 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","42","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Fri May 30 20:06:24 GMT 2025","passed","Fri May 30 20:06:24 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","46","Update profile - no auth","QA|Nova Bank - Infopool","Fri May 30 20:06:11 GMT 2025","passed","Fri May 30 20:06:11 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","41","No auth - get all category","QA|Nova Bank - Infopool","Fri May 30 20:06:29 GMT 2025","passed","Fri May 30 20:06:29 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","44","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Fri May 30 20:06:12 GMT 2025","passed","Fri May 30 20:06:12 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"Create a new report","42","Create Report - No auth","QA|Nova Bank - Infopool","Fri May 30 20:06:30 GMT 2025","passed","Fri May 30 20:06:30 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","78","Fetch Customer By ID","QA|Nova Bank - Infopool","Fri May 30 20:06:15 GMT 2025","passed","Fri May 30 20:06:15 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","70","Update definition","QA|Nova Bank - Infopool","Fri May 30 20:06:25 GMT 2025","passed","Fri May 30 20:06:25 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","45","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Fri May 30 20:06:14 GMT 2025","failed","Fri May 30 20:06:14 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","40","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Fri May 30 20:06:15 GMT 2025","passed","Fri May 30 20:06:15 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","91","Forgot password - successful","QA|Nova Bank - Infopool","Fri May 30 20:06:09 GMT 2025","failed","Fri May 30 20:06:09 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","114","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Fri May 30 20:06:12 GMT 2025","passed","Fri May 30 20:06:12 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"Get a specific report by ID","42","Get Report by ID - No auth","QA|Nova Bank - Infopool","Fri May 30 20:06:29 GMT 2025","passed","Fri May 30 20:06:29 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","54","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Fri May 30 20:06:27 GMT 2025","passed","Fri May 30 20:06:27 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","51","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Fri May 30 20:06:13 GMT 2025","passed","Fri May 30 20:06:14 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","44","Logout session - no session","QA|Nova Bank - Infopool","Fri May 30 20:06:29 GMT 2025","passed","Fri May 30 20:06:29 GMT 2025","v1 > Logout","Bank Admin","",""
"","40","No Auth - Fetch Customers Accounts","QA|Nova Bank - Infopool","Fri May 30 20:06:24 GMT 2025","passed","Fri May 30 20:06:24 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","43","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Fri May 30 20:06:27 GMT 2025","passed","Fri May 30 20:06:27 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
