"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","141","Invalid email format","QA|Nova Bank - Infopool","Fri Nov 21 18:55:49 UTC 2025","broken","Fri Nov 21 18:55:50 UTC 2025","v1 > Auth > Session > Login","Bank User","",""
"","129","Fetch Customer By ID","QA|Nova Bank - Infopool","Fri Nov 21 18:56:01 UTC 2025","broken","Fri Nov 21 18:56:01 UTC 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","125","Logout session successfully","QA|Nova Bank - Infopool","Fri Nov 21 18:56:15 UTC 2025","broken","Fri Nov 21 18:56:15 UTC 2025","v1 > Logout","Bank Admin","",""
"Delete a report (soft delete)","124","Delete Report -No auth","QA|Nova Bank - Infopool","Fri Nov 21 18:56:18 UTC 2025","broken","Fri Nov 21 18:56:18 UTC 2025","v1 > Report > Delete Report","Bank Admin","",""
"Get a paginated list of reports with optional filtering","127","Get Reports - No auth","QA|Nova Bank - Infopool","Fri Nov 21 18:56:15 UTC 2025","broken","Fri Nov 21 18:56:15 UTC 2025","v1 > Report > Get Report","Bank Admin","",""
"","125","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Fri Nov 21 18:56:12 UTC 2025","broken","Fri Nov 21 18:56:12 UTC 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","130","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Nov 21 18:55:51 UTC 2025","broken","Fri Nov 21 18:55:51 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"Get a paginated list of reports with optional filtering","127","Get Reports Stats","QA|Nova Bank - Infopool","Fri Nov 21 18:56:16 UTC 2025","broken","Fri Nov 21 18:56:16 UTC 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"Update an existing report","124","Update Report - No auth","QA|Nova Bank - Infopool","Fri Nov 21 18:56:18 UTC 2025","broken","Fri Nov 21 18:56:18 UTC 2025","v1 > Report > Update Report","Bank Admin","",""
"","129","Fetch user by ID - successful","QA|Nova Bank - Infopool","Fri Nov 21 18:56:05 UTC 2025","broken","Fri Nov 21 18:56:05 UTC 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","130","audit trail - No Auth","QA|Nova Bank - Infopool","Fri Nov 21 18:55:55 UTC 2025","broken","Fri Nov 21 18:55:55 UTC 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","127","update role","QA|Nova Bank - Infopool","Fri Nov 21 18:56:06 UTC 2025","broken","Fri Nov 21 18:56:06 UTC 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","148","Export Report Data - No auth","QA|Nova Bank - Infopool","Fri Nov 21 18:56:19 UTC 2025","broken","Fri Nov 21 18:56:19 UTC 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","142","Create organization - empty mis code","QA|Nova Bank - Infopool","Fri Nov 21 18:56:08 UTC 2025","broken","Fri Nov 21 18:56:09 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Get a specific report by ID","127","Get Report by ID","QA|Nova Bank - Infopool","Fri Nov 21 18:56:16 UTC 2025","broken","Fri Nov 21 18:56:16 UTC 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","127","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Fri Nov 21 18:56:10 UTC 2025","broken","Fri Nov 21 18:56:10 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","123","Invalid token - Validate user invitation token","QA|Nova Bank - Infopool","Fri Nov 21 18:55:55 UTC 2025","broken","Fri Nov 21 18:55:55 UTC 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","127","No_auth_add_comments","QA|Nova Bank - Infopool","Fri Nov 21 18:55:59 UTC 2025","broken","Fri Nov 21 18:56:00 UTC 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","128","Update user - empty action field","QA|Nova Bank - Infopool","Fri Nov 21 18:56:06 UTC 2025","broken","Fri Nov 21 18:56:06 UTC 2025","v1 > Users > Update user","Bank Admin","",""
"","127","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Fri Nov 21 18:56:12 UTC 2025","broken","Fri Nov 21 18:56:12 UTC 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","146","Create organization - business manager ID does not exist","QA|Nova Bank - Infopool","Fri Nov 21 18:56:08 UTC 2025","broken","Fri Nov 21 18:56:08 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","135","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Fri Nov 21 18:55:50 UTC 2025","broken","Fri Nov 21 18:55:50 UTC 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","134","search Corporate Adjustment","QA|Nova Bank - Infopool","Fri Nov 21 18:56:20 UTC 2025","broken","Fri Nov 21 18:56:20 UTC 2025","","corporate Adjustment","",""
"","138","Get events - successful","QA|Nova Bank - Infopool","Fri Nov 21 18:55:54 UTC 2025","broken","Fri Nov 21 18:55:54 UTC 2025","v1 > Audit trail > Event","Bank User","",""
"","123","Get Report Data - Question","QA|Nova Bank - Infopool","Fri Nov 21 18:56:18 UTC 2025","broken","Fri Nov 21 18:56:18 UTC 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","129","audit trail","QA|Nova Bank - Infopool","Fri Nov 21 18:55:55 UTC 2025","broken","Fri Nov 21 18:55:55 UTC 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","138","No auth - Create  organization","QA|Nova Bank - Infopool","Fri Nov 21 18:56:07 UTC 2025","broken","Fri Nov 21 18:56:07 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","121","Get role by ID - successful","QA|Nova Bank - Infopool","Fri Nov 21 18:56:13 UTC 2025","broken","Fri Nov 21 18:56:13 UTC 2025","v1 > Roles > Get role by ID","Bank Admin","",""
